sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
BOSTON_A_0170,Boston_AFSCME_Citywide_2020_2023,17,"For purposes of this Article, ""layoff"" shall be defined as an Employer initiated separation of an employee from service because of lack of work, shortage of funds, curtailment of services, or any other reason except for voluntary separation, separation due to retirement, or separation constituting discipline or discharge under Article 6.",HARD,deontic:obligation|exception,3,Yes,HARD,"employer, employee",,"except for voluntary separation, separation due to retirement, or separation constituting discipline or discharge under Article 6","auto-openai:The sentence defines 'layoff' in a mandatory manner, indicating specific conditions under which an employee can be separated from service, thus constituting a hard constraint."
BOSTON_A_0108,Boston_AFSCME_Citywide_2020_2023,13,"The parties recognize that for alternative workweeks employees shall not work more than their normal scheduled work hours (i.e., 35 hour employees shall be scheduled to work 35 hours and 40 hour employees shall be scheduled to work 40 hours, whichever is applicable).",HARD,deontic:prohibition|deontic:obligation|threshold,3,Yes,HARD,employees,"max_hours=35,max_hours=40",,"auto-openai:The sentence establishes a mandatory limit on work hours for employees based on their scheduled hours, using 'shall' which indicates a hard constraint."
BOSTON_A_0261,Boston_AFSCME_Citywide_2020_2023,24,"(6) months of continuous service for the Municipal Employer shall, subject to Section 2 of this Article, be granted sick leave, without loss of pay, for absence caused by illness or by injury or exposure to contagious disease or by the serious illness or death of a member of the employee's immediate family or by illness or disability arising out of or caused by pregnancy or childbirth.",HARD,deontic:obligation|exception,3,Yes,HARD,"Municipal Employer, employee",min_service=6,subject to Section 2 of this Article,"auto-openai:The sentence establishes a mandatory condition for sick leave entitlement after a specified period of continuous service, indicating a hard constraint."
BOSTON_A_0102,Boston_AFSCME_Citywide_2020_2023,13,"No agreement, understanding, alteration or variation of the agreements, terms or provisions herein contained shall bind the parties hereto unless made and executed in writing by the parties hereto subsequent to the date of execution of this Agreement.",HARD,deontic:obligation|exception,3,Yes,HARD,parties,,,"auto-openai:The sentence establishes that no changes to the agreement are valid unless made in writing, which is a legally binding requirement."
BOSTON_A_0265,Boston_AFSCME_Citywide_2020_2023,24,"Sick leave not used prior to the termination of an employee's service shall lapse, and the employee shall not be entitled to any compensation in lieu thereof, except for the purpose of Article 14, Section 8.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,employee,,"except for the purpose of Article 14, Section 8","auto-openai:The sentence establishes a mandatory rule regarding the lapse of unused sick leave, indicating no compensation will be provided, which classifies it as a hard constraint."
BOSTON_A_0266,Boston_AFSCME_Citywide_2020_2023,24,No employee shall be entitled to sick leave without loss of pay as provided in Section 1 of this Article unless: A.,HARD,deontic:obligation|deontic:prohibition|exception,3,Yes,HARD,"employee, authority",,unless: A.,"auto-openai:The sentence establishes a mandatory condition for sick leave entitlement, indicating that employees cannot receive sick leave without loss of pay unless specified otherwise."
BOSTON_A_0477,Boston_AFSCME_Citywide_2020_2023,76,(1) year of service or who is hired thereafter shall receive step rates under this provision except that his/her anniversary date shall be his/her date of hire.,HARD,deontic:obligation|exception,3,Yes,HARD,"employee, employer",,his/her anniversary date shall be his/her date of hire,"auto-openai:The sentence establishes a mandatory condition for step rates based on the date of hire, indicating a clear obligation without discretion."
BOSTON_A_0092,Boston_AFSCME_Citywide_2020_2023,12,"If the City fails to comply with a monetary award within forty-five (45) calendar days after the date of the award, ten percent (10%) interest per year shall be added unless the award is ultimately vacated by a final court judgment.",HARD,deontic:obligation|exception,3,Yes,HARD,"City, award",interest_rate=10%,unless the award is ultimately vacated by a final court judgment,"auto-openai:The sentence imposes a mandatory interest rate if the City fails to comply with the monetary award within a specified timeframe, making it a hard constraint."
BOSTON_A_0091,Boston_AFSCME_Citywide_2020_2023,12,"When an arbitration award is granted in favor of the Union, that award shall be complied with by the City within thirty (30) calendar days of the date the Award was granted, unless the City, in a timely fashion, seeks to vacate the award.",HARD,deontic:obligation|exception,3,Yes,HARD,"City, Union",30,"unless the City, in a timely fashion, seeks to vacate the award","auto-openai:The sentence imposes a mandatory requirement for the City to comply with the arbitration award within a specified timeframe, making it a hard constraint."
BOSTON_A_0271,Boston_AFSCME_Citywide_2020_2023,25,"(5) days' sick leave credit will be restored to an employee's accumulated sick leave when such employee has used sick leave allowance between the date of injury on the job and the date that disability (workers' compensation) is awarded, except that such sick leave shall be offset proportionately by a disability benefit that is awarded retroactively to the date the disability was incurred.",HARD,deontic:obligation|exception,3,Yes,HARD,"employee, employer, union",,except that such sick leave shall be offset proportionately by a disability benefit that is awarded retroactively to the date the disability was incurred,"auto-openai:The sentence establishes a mandatory condition for restoring sick leave credit, making it a hard constraint with a specified exception."
BOSTON_A_0569,Boston_AFSCME_Citywide_2020_2023,92,(1) year and shall be subject to progressive disciplinary action. 6.,HARD,deontic:obligation|exception,3,Yes,HARD,"operator, union",,,"auto-openai:The sentence specifies a mandatory action regarding progressive disciplinary action, indicating a legally binding requirement."
BOSTON_A_0087,Boston_AFSCME_Citywide_2020_2023,11,The failure of the Office of Labor Relations to timely issue a written opinion shall not be subject to the grievance procedure.,HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"Office of Labor Relations, grievance procedure",,,"auto-openai:The sentence establishes a mandatory condition regarding the grievance procedure and the actions of the Office of Labor Relations, indicating that failure to issue a written opinion is not subject to grievance, which is a hard constraint."
BOSTON_A_0084,Boston_AFSCME_Citywide_2020_2023,11,Any matter which is subject to the jurisdiction of the Civil Service Commission or any Retirement Board established by law shall not be a subject of grievance or arbitration hereunder.,HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"Civil Service Commission, Retirement Board",,,"auto-openai:The sentence establishes a clear prohibition against grievances or arbitration on matters under the jurisdiction of specified entities, indicating a legally mandatory constraint."
BOSTON_A_0277,Boston_AFSCME_Citywide_2020_2023,26,It is agreed that employees who abuse the sick leave provisions of this Agreement shall be subject to disciplinary action in accordance with the provisions of Article 6.,HARD,deontic:obligation|exception,3,Yes,HARD,"employees, union",,,"auto-openai:The sentence establishes a mandatory consequence for employees who misuse sick leave, indicating a clear disciplinary action without discretion."
BOSTON_A_0577,Boston_AFSCME_Citywide_2020_2023,93,"Any employee in the Health Inspections, Weights and Measures or Building and Structures Divisions who fails to file such disclosure form by the required date shall be subject to disciplinary action up to and including termination.",HARD,deontic:obligation|exception,3,Yes,HARD,"employee, Health Inspections Division, Weights and Measures Division, Building and Structures Division",,,"auto-openai:The sentence imposes a mandatory requirement for employees to file a disclosure form by a specified date, with disciplinary consequences for non-compliance."
BOSTON_A_0279,Boston_AFSCME_Citywide_2020_2023,26,"Unused sick time acquired pursuant to Section 10 of this Article shall not be subject to redemption, rather it shall revert back to the extended sick leave bank.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"operator, union",,,"auto-openai:The sentence establishes a mandatory rule regarding the treatment of unused sick time, indicating it must revert to the sick leave bank without exception."
BOSTON_A_0076,Boston_AFSCME_Citywide_2020_2023,11,"Should the parties mutually elect to utilize the services of the Board of Conciliation and Arbitration the parties shall equally share the costs of those services, unless otherwise stipulated.",HARD,deontic:obligation|deontic:preference|exception,3,Yes,SOFT,"parties, Board of Conciliation and Arbitration",,unless otherwise stipulated,"auto-openai:The sentence indicates a mutual agreement on cost-sharing, which is discretionary and can be altered by stipulation."
BOSTON_A_0075,Boston_AFSCME_Citywide_2020_2023,11,Any issue regarding the rules and procedures for arbitration not covered above shall be subject to the voluntary rules of the “Labor Relations Connection.” By mutual consent the parties may elect to utilize the services of the State Board of Conciliation and Arbitration for the purposes of grievance mediation.,HARD,deontic:obligation|deontic:permission|exception,3,Yes,SOFT,"parties, Labor Relations Connection, State Board of Conciliation and Arbitration",,By mutual consent,"auto-openai:The sentence outlines a discretionary process for arbitration and mediation, indicating that the parties may choose to utilize certain services, which classifies it as a soft constraint."
BOSTON_A_0397,Boston_AFSCME_Citywide_2020_2023,36,• An employee who is subject to a post-accident test must remain available for testing.,HARD,deontic:obligation|exception,3,Yes,HARD,"employee, testing authority",,,"auto-openai:The sentence imposes a mandatory requirement for employees to remain available for testing after an accident, indicating no discretion is allowed."
BOSTON_A_0072,Boston_AFSCME_Citywide_2020_2023,11,"If an order to bifurcate/separate is issued, the cost of the hearing shall be borne equally by both sides unless otherwise agreed.",HARD,deontic:obligation|exception,3,Yes,HARD,"operator, union",,unless otherwise agreed,"auto-openai:The sentence imposes a mandatory cost-sharing obligation on both sides in the event of a bifurcation order, qualifying it as a hard constraint."
BOSTON_A_0582,Boston_AFSCME_Citywide_2020_2023,93,An employee who fails to sever such outside employment after thirty (30) days shall be subject to disciplinary action up to and including termination.,HARD,deontic:obligation|exception,3,Yes,HARD,"employee, employer",30,,"auto-openai:The sentence imposes a mandatory requirement on employees to sever outside employment within a specified timeframe, with disciplinary action for non-compliance."
BOSTON_A_0391,Boston_AFSCME_Citywide_2020_2023,34,Such separation shall only be a subject of the grievance and arbitration article hereunder through Step 3 and shall not be subject to arbitration. 34,HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"union, operator",,,"auto-openai:The sentence specifies that separation is strictly limited to the grievance and arbitration process up to Step 3 and explicitly states it shall not be subject to arbitration, indicating a mandatory constraint."
BOSTON_A_0257,Boston_AFSCME_Citywide_2020_2023,24,"Subject to the preceding sentence, vacation leave selection shall be determined by seniority.",HARD,deontic:obligation|exception,3,Yes,HARD,"operator, union",,preceding sentence,"auto-openai:The sentence establishes a mandatory rule for vacation leave selection based on seniority, indicating no discretion is allowed."
BOSTON_A_0110,Boston_AFSCME_Citywide_2020_2023,13,"All authorized overtime service in excess of the regular workday or the regular workweek, or on the sixth (6th) and seventh (7th) days of service, shall be compensated on a time and one-half basis, except that service on the seventh (7th) day of a workweek on a continuous operation only shall be compensated at double time.",HARD,deontic:obligation|exception,3,Yes,HARD,"operator, union","max_hours=8, max_days=7",service on the seventh (7th) day of a workweek on a continuous operation only shall be compensated at double time,"auto-openai:The sentence establishes mandatory compensation rates for overtime service, indicating a hard constraint due to the use of 'shall' and specific compensation thresholds."
BOSTON_A_0059,Boston_AFSCME_Citywide_2020_2023,10,Transcripts shall be paid for by the party requesting it (unless the other party also orders a copy) and in no event shall the utilization of the transcript affect any of the time limitations herein.,HARD,deontic:obligation|exception,3,Yes,HARD,"party, requesting party, other party",,unless the other party also orders a copy,"auto-openai:The sentence imposes a mandatory obligation on the party requesting the transcript to bear the cost, with a clear exception regarding the other party's involvement."
BOSTON_A_0549,Boston_AFSCME_Citywide_2020_2023,90,"However, the City shall give the Union, Local 1198, ten (10) days notice of its intent to contract out or subcontract out work presently performed by members of the bargaining unit, except that when the work to be contracted out of subcontracted out is of an emergency nature where it is not feasible to give thirty (30) days’ notice, the City shall give the Union ten (10) days’ notice. 2.",HARD,deontic:obligation|exception,3,Yes,HARD,"City, Union, Local 1198","notice_period=10days, emergency_notice_period=10days",when the work to be contracted out or subcontracted out is of an emergency nature where it is not feasible to give thirty (30) days’ notice,"auto-openai:The sentence imposes a mandatory requirement for the City to provide notice to the Union, qualifying it as a hard constraint with specific thresholds and an exception for emergencies."
BOSTON_A_0476,Boston_AFSCME_Citywide_2020_2023,76,"(1) year of service who is not a permanent employee shall be advanced to the step next higher in his/her pay grade, and thereafter shall automatically advance to the next higher step, if any, unless within the one",HARD,deontic:obligation|exception,3,Yes,HARD,"employee, pay grade",,unless within the one,"auto-openai:The sentence establishes a mandatory advancement in pay grade for employees based on their service duration, indicating a hard constraint with a specific exception."
BOSTON_A_0475,Boston_AFSCME_Citywide_2020_2023,75,No money shall be paid under this Agreement unless and until the funds necessary to implement this Agreement have been appropriated. 75,HARD,deontic:obligation|exception,3,Yes,HARD,"operator, authority, union",,unless and until the funds necessary to implement this Agreement have been appropriated,"auto-openai:The sentence establishes a mandatory condition for payment, indicating that no funds will be disbursed unless appropriated, which is a legally binding requirement."
BOSTON_A_0186,Boston_AFSCME_Citywide_2020_2023,19,"Notice to an employee shall be complete upon actual notice, except that notice to an employee absent from work shall be complete three",HARD,deontic:obligation|exception,3,Yes,HARD,employee,,absent from work,"auto-openai:The sentence establishes a mandatory condition for notice to employees, indicating that it is legally binding with no discretion allowed."
BOSTON_A_0482,Boston_AFSCME_Citywide_2020_2023,76,"The City agrees to seek to join the Massachusetts Public Employees Fund in order to effectuate a dental/vision plan for its employees subject to the following terms: Effective January 1, 2001, the City shall commence contributions, not to exceed $10.44 per week per employee to the Fund.",HARD,deontic:obligation|exception,3,Yes,HARD,"City, employees",max_contribution=10.44,,"auto-openai:The sentence imposes a mandatory contribution limit by the City to the Fund, which is legally binding."
BOSTON_A_0197,Boston_AFSCME_Citywide_2020_2023,20,"The above recall rights, except as extended by Civil Service law, shall run for two years from date of layoff.",HARD,deontic:obligation|exception,3,Yes,HARD,"union, authority",2 years,except as extended by Civil Service law,"auto-openai:The sentence establishes a mandatory timeframe for recall rights following a layoff, indicating a legally binding obligation."
BOSTON_A_0470,Boston_AFSCME_Citywide_2020_2023,75,The Union has the right to file and advance a grievance filed over the outcome of such recommendation under and in conformance with Article 7 of this Agreement except that in no event shall such grievance be subject to arbitration without the written agreement of the City of Boston’s Office of Labor Relations.,HARD,deontic:obligation|exception,3,Yes,HARD,"Union, City of Boston’s Office of Labor Relations",,in no event shall such grievance be subject to arbitration without the written agreement of the City of Boston’s Office of Labor Relations,"auto-openai:The sentence imposes a mandatory condition on the grievance process, specifically stating that arbitration cannot occur without written agreement, which qualifies it as a hard constraint."
BOSTON_A_0489,Boston_AFSCME_Citywide_2020_2023,77,"ARTICLE 21 - DURATION OF AGREEMENT Except as otherwise provided herein, this Agreement shall take effect as of the date of execution and shall continue in full force and effect until superseded by a new Collective Bargaining Agreement.",HARD,deontic:obligation|exception,3,Yes,HARD,"operator, authority, union",,except as otherwise provided herein,"auto-openai:The sentence establishes a mandatory duration for the agreement, indicating it shall continue until a new agreement is made, which qualifies it as a hard constraint."
BOSTON_A_0492,Boston_AFSCME_Citywide_2020_2023,79,"Nothing in this supplemental Agreement shall be construed to preclude the Department from eliminating any existing shifts or creating additional shifts, subject to the provisions of Article X of the collective bargaining agreement.",HARD,deontic:obligation|exception,3,Yes,SOFT,"Department, union",,subject to the provisions of Article X,"auto-openai:The sentence indicates that the Department has the discretion to eliminate or create shifts, which is subject to the provisions of another article, making it a soft constraint."
BOSTON_A_0340,Boston_AFSCME_Citywide_2020_2023,30,"These Wellness days shall not carry over into Calendar Year 2023 under any circumstances; nonuse of any or all of these days shall not entitle an employee to any extra leave or compensation on the basis of nonuse and is not subject to any annual buy back, rollover or severance.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"employee, employer",,,"auto-openai:The sentence establishes a mandatory rule regarding the non-carryover of Wellness days and explicitly states that nonuse does not result in additional benefits, indicating no discretion is allowed."
BOSTON_A_0169,Boston_AFSCME_Citywide_2020_2023,17,"For purposes of this Article, ""seniority"" shall be defined as the total continuous service of an employee with the City of Boston, provided that service prior to an authorized leave of absence or prior to a lay off shall be counted toward total continuous service.",HARD,deontic:obligation|exception,3,Yes,HARD,"employee, City of Boston",,prior to an authorized leave of absence or prior to a lay off,"auto-openai:The definition of seniority is a mandatory rule that establishes how continuous service is calculated, with specific exceptions noted."
BOSTON_A_0460,Boston_AFSCME_Citywide_2020_2023,73,"(4) or more hours of which occur between 7:00 P.M. on one day and 8:00 A.M. on the next succeeding day, except that in the Parks and Recreation Department it shall mean a regular work shift four",HARD,deontic:obligation|exception,3,Yes,HARD,Parks and Recreation Department,min_hours=4,except that in the Parks and Recreation Department,"auto-openai:The sentence specifies a minimum work shift requirement that is legally mandatory, with an exception for a specific department."
BOSTON_A_0213,Boston_AFSCME_Citywide_2020_2023,20,"Subject to the provisions of Massachusetts General Laws, Chapter 31, if the positions of employees are abolished as a result of the transfer of the functions of their department, board or commission to another department, board or commission within the bargaining unit, employees may elect to accept layoff or to be transferred to a similar position within the bargaining unit in such department, board or commission. 20",SOFT,deontic:permission|exception,3,Yes,SOFT,"employees, bargaining unit, department, board, commission",,"Subject to the provisions of Massachusetts General Laws, Chapter 31","auto-openai:The sentence outlines options available to employees regarding layoffs or transfers, indicating discretion in the decision-making process."
BOSTON_A_0155,Boston_AFSCME_Citywide_2020_2023,16,The decision as to eligible classifications of employees shall be subject to Civil Service law and rules and shall not be a subject of grievance or arbitration.,HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"employees, Civil Service law",,,"auto-openai:The sentence establishes a mandatory rule regarding employee classifications that cannot be grieved or arbitrated, indicating a hard constraint."
BOSTON_A_0516,Boston_AFSCME_Citywide_2020_2023,82,If an employee encounters an emergency when she/he is unable to perform the oncall duties she/he must immediately notify the Mayor's 24 Hour Constituent Service (634-4500) and the Director of Operations or the Commissioner or his/her designee. e.,HARD,deontic:obligation|threshold,3,Yes,HARD,"employee, Mayor's 24 Hour Constituent Service, Director of Operations, Commissioner",,,"auto-openai:The sentence imposes a mandatory requirement for the employee to notify specific authorities in case of an emergency, indicating a hard constraint."
BOSTON_A_0517,Boston_AFSCME_Citywide_2020_2023,82,"The on-call employee may receive notifications from: a. the Commissioner or his/her designee outside of the bargaining unit, and/or; b. the Mayor's 24 Hour Constituent Service Center including (Boston 311).",SOFT,deontic:permission|threshold,3,Yes,SOFT,"employee, Commissioner, Mayor's 24 Hour Constituent Service Center",,,"auto-openai:The sentence indicates that the on-call employee may receive notifications, which implies discretion and is not a mandatory requirement."
BOSTON_A_0231,Boston_AFSCME_Citywide_2020_2023,22,"Subject to the specific provisions of this Article, every newly hired employee covered by this Agreement must complete six",HARD,deontic:obligation|exception,3,Yes,HARD,"employee, agreement",min_training=6,,"auto-openai:The sentence mandates that newly hired employees must complete a specific training requirement, indicating a legally binding obligation."
BOSTON_A_0136,Boston_AFSCME_Citywide_2020_2023,15,"In the event of failure to agree on this proposed change, the City shall have the right to institute the change and the Union shall have the right to take the matter up as a grievance under the grievance procedure.",HARD,deontic:obligation|exception,3,Yes,HARD,"City, Union",,,"auto-openai:The sentence establishes a mandatory right for the City to institute a change and for the Union to grieve, indicating a legally binding obligation."
BOSTON_A_0133,Boston_AFSCME_Citywide_2020_2023,15,"Reasonable notice, except in extreme circumstances, shall be fourteen (14) calendar days in writing to the employee and copied to the Union.",HARD,deontic:obligation|exception,3,Yes,HARD,"employee, union",notice_period=14_days,extreme circumstances,"auto-openai:The sentence specifies a mandatory notice period of fourteen days, which is legally binding except in extreme circumstances."
BOSTON_A_0539,Boston_AFSCME_Citywide_2020_2023,87,If an employee encounters an emergency when she/he is unable to perform the on-call duties she/he must immediately notify the Mayor's 24 Hour Constituent Service (634-4500) and the Director of Operations or the Commissioner or his/her designee. e.,HARD,deontic:obligation|threshold,3,Yes,HARD,"employee, Mayor's 24 Hour Constituent Service, Director of Operations, Commissioner",,,"auto-openai:The sentence imposes a mandatory requirement for the employee to notify specific authorities in case of an emergency, indicating a hard constraint."
BOSTON_A_0115,Boston_AFSCME_Citywide_2020_2023,13,"However, in the event of an unauthorized absence during the week in which such overtime service is performed, or in the event of absence without pay by reason of disciplinary action, such employee shall be compensated for such overtime service on a straight-time basis only. 13",HARD,deontic:obligation|exception,3,Yes,HARD,"employee, employer",,"in the event of an unauthorized absence, or in the event of absence without pay by reason of disciplinary action","auto-openai:The sentence establishes a mandatory condition for compensation based on specific circumstances, indicating a hard constraint."
BOSTON_A_0389,Boston_AFSCME_Citywide_2020_2023,34,Any employee who fails to notify his/her department head of his/her ability to return to work after being medically cleared to do so through the Worker’s Compensation process shall be subject to discipline or discharge.,HARD,deontic:obligation|exception,3,Yes,HARD,"employee, department head",,,"auto-openai:The sentence imposes a mandatory requirement on employees to notify their department head, with disciplinary consequences for non-compliance, indicating a hard constraint."
BOSTON_A_0618,Boston_AFSCME_Citywide_2020_2023,99,Any Laborer who automatically becomes an MEOL shall be subject to and must serve an additional sixty (60) calendar days probationary period with the City of Boston.,HARD,deontic:obligation|deontic:obligation|exception,3,Yes,HARD,"Laborer, City of Boston",probation_period=60_days,,"auto-openai:The sentence imposes a mandatory probationary period for Laborers who become MEOL, indicating a hard constraint."
BOSTON_A_0011,Boston_AFSCME_Citywide_2020_2023,7,"Subject to the express provisions of this Agreement, the Municipal Employer shall not be deemed to be limited in any way by this Agreement in the performance of the regular and customary functions of municipal management, and reserves and retains all powers, authority and prerogatives including, without limitation, the exclusive right of the Appointing Authority to issue reasonable rules and regulations governing the conduct of his/her Department.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,SOFT,"Municipal Employer, Appointing Authority",,subject to the express provisions of this Agreement,"auto-openai:The sentence outlines the powers and authority of the Municipal Employer while indicating that these are subject to the provisions of the Agreement, making it a discretionary constraint."
BOSTON_A_0316,Boston_AFSCME_Citywide_2020_2023,29,Bereavement shall not be granted in the event of the death of a person not specifically enumerated above.,HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"operator, union",,,"auto-openai:The sentence establishes a mandatory rule that bereavement leave is not granted under specific circumstances, indicating a hard constraint."
