sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
KAISER_C_0015,Kaiser_CNA_2022_2026,17,"Local management will work with the Association to provide an area that is appropriate for the Association to meet with the new bargaining unit members. 304 It is further understood that, should the Association designate a Nurse Representative to meet with new employees, the Nurse Representative’s time will be paid and the Nurse Representative will be released from work for the time needed to meet with employees, provided that the Nurse Representative gives his/her supervisor sufficient advance notice to enable the Employer to plan for operational and patient care needs. 305 The Employer will make its best efforts to provide the Association with a list of the expected RN/NP participants in orientation at least 48 hours prior to the session. 3",SOFT,deontic:preference|threshold|exception,4,,,,,,
KAISER_C_0090,Kaiser_CNA_2022_2026,32,"Section C – Overtime No Mandatory Overtime 707 There shall be no mandatory overtime except during a state of emergency declared by City, County, State or Federal authorities, or during a short-term (not to exceed 24 hours) City or County mandatory diversion override.",HARD,deontic:obligation|threshold|exception,4,,,,,,
KAISER_C_0700,Kaiser_CNA_2022_2026,138,"Short-Hour, Temporary and Per diem Nurses may be discharged without recourse to the grievance procedure until such Nurse has been employed for 6 months or worked 300 hours, whichever comes first. 4120 Interim Permittees are subject to the same limitations and restrictions on access to the grievance arbitration procedure that are applicable to probationary Nurses as described in paragraph 4119.",SOFT,deontic:permission|threshold|exception,4,,,,,,
KAISER_C_0535,Kaiser_CNA_2022_2026,109,"When educational leave requests are made with less than 30 days’ notice, operational needs of the unit shall be considered prior to the approval of such requests. 2906 RNs/NPs shall not be denied paid education leave solely on course content, provided that nursing continuing education units (CEUs or CMEs) are being offered for the requested class. 2907 In the event that more than one Nurse within a given Department requests the same Educational Leave day(s) off, and it is not feasible to grant all such requests, then the requests shall be honored in rotation on the basis of the bargaining unit seniority of Nurses within the Department, provided that the rotation shall commence anew each calendar year. 2908 It is understood that an individual Nurse shall have a choice in the selection of the types of educational programs in which the Nurse shall participate.",HARD,deontic:prohibition|deontic:obligation|threshold|exception,4,,,,,,
KAISER_C_0875,Kaiser_CNA_2022_2026,183,"Licensed vocational nurses may constitute up to 50 percent of the licensed nurses assigned to patient care on any unit, except where Registered nurses are required pursuant to the patient classification system or this section.",SOFT,deontic:permission|threshold|exception,4,,,,,,
KAISER_C_0820,Kaiser_CNA_2022_2026,166,"RN/NPs who accept these backfill positions shall have the option to bid on open positions subject to provisions of Article IX – Position Posting and Filling of Vacancies, except that the six-month bar referenced in paragraph 913 shall be waived. 5.",HARD,deontic:obligation|exception,3,,,,,,
KAISER_C_0919,Kaiser_CNA_2022_2026,187,"Prior to the completion of validation of the competency standards for a patient care unit, patient care assignments shall be subject to the following restrictions:",HARD,deontic:obligation|exception,3,,,,,,
KAISER_C_0154,Kaiser_CNA_2022_2026,40,Such payments shall be made by off- cycle check or direct deposit in accordance with the Nurse’s election within 72 hours.,HARD,deontic:obligation|threshold,3,,,,,,
KAISER_C_0918,Kaiser_CNA_2022_2026,187,"(2) All patient care personnel, including temporary staff as described in subsection 70217(m), shall be subject to the process of competency validation for their assigned patient care unit or units.",HARD,deontic:obligation|exception,3,,,,,,
KAISER_C_0158,Kaiser_CNA_2022_2026,41,"(1) month's seniority credit, for hours worked after September 1, 2002 except that no Nurse shall receive more than one",HARD,deontic:obligation|exception,3,,,,,,
