sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
MIAMI_DA_0039,Miami_Dade_CIR_2023_2026,12,"HSOs shall receive a minimum of 24 consecutive hours off per work week (i.e., duty free), when averaged over four weeks, except on those occasions when the medical needs of a patient require transition between the HSO and an oncoming physician.",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"HSO, physician",min_hours_off=24,when the medical needs of a patient require transition between the HSO and an oncoming physician,"auto-openai:The sentence establishes a mandatory requirement for HSOs to have a minimum of 24 consecutive hours off, with a specific exception for medical needs."
MIAMI_DA_0111,Miami_Dade_CIR_2023_2026,18,"Article 5 Prevailing Benefits Section 1: Unless specifically provided for or abridged herein, all wage and economic benefits, specifically provided by the Public Health PHT and currently in effect, shall remain in effect under conditions upon which they have previously been granted.",HARD,deontic:obligation|exception,3,Yes,HARD,Public Health PHT,,unless specifically provided for or abridged herein,"auto-openai:The sentence establishes a mandatory requirement for wage and economic benefits to remain in effect unless explicitly altered, indicating a hard constraint."
MIAMI_DA_0098,Miami_Dade_CIR_2023_2026,17,"Emergency Funeral Leave: The HSO shall be granted emergency funeral leave in the event of a death of a HSO’s mother-in-law or fatherin-law, provided the HSO actually attends the funeral.",HARD,deontic:obligation|exception,3,Yes,HARD,"HSO, union",,provided the HSO actually attends the funeral,"auto-openai:The sentence establishes a mandatory condition for granting emergency funeral leave, which is contingent upon the HSO attending the funeral."
MIAMI_DA_0036,Miami_Dade_CIR_2023_2026,12,"Duty hours must be limited to 80 hours per week, averaged over a four-week period, inclusive of all in-house call activities, and in accordance with ACGME rules. 2.",HARD,deontic:obligation|threshold,3,Yes,HARD,"operator, authority, union",max_hours=80,,"auto-openai:The sentence specifies a mandatory limit on duty hours that must be adhered to, indicating a hard constraint."
MIAMI_DA_0236,Miami_Dade_CIR_2023_2026,38,"Rebuttal meetings should be scheduled within fourteen (14) calendar days, unless time is extended by mutual agreement.",SOFT,deontic:preference|exception,3,Yes,SOFT,"operator, union",max_days=14,unless time is extended by mutual agreement,"auto-openai:The sentence indicates a timeframe for scheduling meetings that is not mandatory but suggests a preferred practice, thus classifying it as a soft constraint."
MIAMI_DA_0186,Miami_Dade_CIR_2023_2026,33,Medical and DEA License: The PHT shall provide reimbursement for each resident or fellow to acquire their Medical and DEA License who will continue to be employed as an attending physician by the PHT for no less than 1 year following initial full licensing.,HARD,deontic:obligation|threshold,3,Yes,HARD,"PHT, resident, fellow, attending physician",min_employment_duration=1 year,,"auto-openai:The sentence imposes a mandatory requirement for reimbursement contingent upon continued employment for a specified duration, indicating a hard constraint."
MIAMI_DA_0027,Miami_Dade_CIR_2023_2026,10,Assignments to these 24 hour shifts must be approved by a Program Director.,HARD,deontic:obligation|threshold,3,Yes,HARD,Program Director,,,"auto-openai:The sentence specifies that approval is mandatory for assignments to 24 hour shifts, indicating a hard constraint."
MIAMI_DA_0389,Miami_Dade_CIR_2023_2026,59,"Accordingly, it is understood and agreed that in the event of any violation of this Article, the PHT shall be entitled to seek and obtain immediate injunctive relief.",HARD,deontic:obligation|exception,3,Yes,HARD,PHT,,,"auto-openai:The sentence establishes a mandatory right for the PHT to seek injunctive relief in case of a violation, indicating a legally binding obligation."
MIAMI_DA_0024,Miami_Dade_CIR_2023_2026,10,"Section 6: Paycheck Error In the event of an error in the paycheck, a voucher in the corrected amount shall be made available to the HSO as soon as practically possible but within two weeks of reporting the error to the Payroll Department.",HARD,deontic:obligation|exception,3,Yes,HARD,"HSO, Payroll Department",max_time=2weeks,,"auto-openai:The sentence establishes a mandatory requirement for correcting paycheck errors within a specified timeframe, indicating a hard constraint."
MIAMI_DA_0189,Miami_Dade_CIR_2023_2026,34,"Section 2: Except as otherwise provided in this Agreement, the term “grievance” shall mean: A.",HARD,deontic:obligation|exception,3,No,NOT_CONSTRAINT,,,,auto-openai:The sentence provides a definition for the term 'grievance' and does not impose any rules or obligations.
