sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
32BJ_MA__0149,32BJ_MA_Janitorial_2027,37,"Article 36 Shop Visitation 36.1 The Union shall notify the Employer at least twenty-four (24) hours in advance of any visit to a job location, and at the same time shall notify the Employer which Union Representative(s) will be visiting such location; except that, in order to investigate a potential grievance at a job location where a Shop Steward is not at the job location to investigate the potential grievance during the shift on which it occurs, the Union may provide less than twenty-four (24) hour notice, but must provide as much notice as possible, and the Union’s visit to the location in such circumstances shall be restricted to the investigation of such potential grievance.",HARD,deontic:obligation|deontic:obligation|deontic:permission|exception,3,Yes,HARD,"union, employer",min_notice=24hours,"in order to investigate a potential grievance, the Union may provide less than twenty-four (24) hour notice","auto-openai:The sentence establishes a mandatory notification requirement for the Union with a specific time threshold, while also providing an exception for urgent grievance investigations."
32BJ_MA__0193,32BJ_MA_Janitorial_2027,43,The Arbitrator shall have no power to engage in any form of interest arbitration unless mutually agreed in writing.,HARD,deontic:obligation|exception,3,Yes,HARD,"Arbitrator, union, operator",,unless mutually agreed in writing,"auto-openai:The sentence imposes a strict limitation on the Arbitrator's powers, indicating that they cannot engage in interest arbitration unless there is a mutual written agreement, which qualifies it as a hard constraint."
32BJ_MA__0057,32BJ_MA_Janitorial_2027,18,"In the event of the death of a grandparent, step-parent, step-child, in-law, aunt or uncle the employee shall be entitled to one",HARD,deontic:obligation|exception,3,Yes,HARD,"employee, employer",,,"auto-openai:The sentence establishes a mandatory entitlement for employees in the event of specific family member deaths, indicating a hard constraint."
32BJ_MA__0030,32BJ_MA_Janitorial_2027,15,"The Employer must also report all holiday hours, whether worked or not worked, to the Funds. 9.3 It shall be a requirement that those employees who are to receive holiday pay must work their full scheduled working day before and working day after the holiday and if scheduled to work the holiday must work the holiday unless on a scheduled vacation.",HARD,deontic:obligation|deontic:obligation|exception,3,Yes,HARD,"Employer, Funds, employees",,unless on a scheduled vacation,"auto-openai:The sentence imposes mandatory requirements on the Employer and employees regarding holiday pay and work obligations, indicating a legally binding constraint."
32BJ_MA__0072,32BJ_MA_Janitorial_2027,20,"If such position is not available, the Employer shall make a good faith effort to place the employee in an equivalent position, provided that such a position is available at the time the employee returns to work. 13.7 Subject to Paragraphs 13.1 through 13.5 of this Article, an employee may request an unpaid leave of absence to work with the Union.",HARD,deontic:obligation|deontic:permission|exception,3,Yes,SOFT,"employer, employee, union",,provided that such a position is available at the time the employee returns to work,"auto-openai:The sentence outlines a discretionary process for placing an employee in an equivalent position and allows for an unpaid leave of absence, indicating it is not legally mandatory."
32BJ_MA__0249,32BJ_MA_Janitorial_2027,54,"Employees who fail such security background check shall be subject to termination. 48.3 To this end, the Union agrees that current employees shall, as a condition of continued employment, execute a release authorizing the Employer or an authorized agent of the Employer to conduct an investigation into the following: a.",HARD,deontic:obligation|exception,3,Yes,HARD,"employees, union, employer",,,"auto-openai:The sentence imposes a mandatory condition for continued employment based on the outcome of a security background check, indicating a hard constraint."
32BJ_MA__0248,32BJ_MA_Janitorial_2027,54,Any employee who refuses to cooperate shall be subject to termination.,HARD,deontic:obligation|exception,3,Yes,HARD,"employee, employer",,,"auto-openai:The sentence imposes a mandatory consequence for non-cooperation, indicating a clear rule with no discretion allowed."
32BJ_MA__0034,32BJ_MA_Janitorial_2027,16,"(4) Weeks 10.3 Employer contributions to the Funds described in Article 15 – Group Insurance Benefits and Article 16 – Pension must be paid for all hours in which employees receive vacation pay pursuant to this Article. 10.4 Authorized leaves of absence shall count toward the eighty percent (80%) of regularly scheduled hours necessary to render an employee eligible to receive vacation, except that the amount of vacation shall be reduced pro-rata based on the length of the authorized leave.",HARD,deontic:obligation|deontic:obligation|exception,3,Yes,HARD,"employer, employee, union",80%,the amount of vacation shall be reduced pro-rata based on the length of the authorized leave,"auto-openai:The sentence outlines mandatory employer contributions and conditions for vacation eligibility, indicating a legally binding requirement."
32BJ_MA__0126,32BJ_MA_Janitorial_2027,32,"If there is no resolution, the employee(s) may file a grievance but such grievance will not be subject to arbitration. 28.3 The foregoing specifically listed management rights, as well as those implicit in the traditional functions of management, are expressly reserved to be decided by the Employer and shall not be subject to the provisions of Article 40 – Grievance Procedure, unless the Employer acted arbitrarily and capriciously.",HARD,deontic:prohibition|deontic:obligation|deontic:permission|exception,3,Yes,HARD,"employee, employer",,unless the Employer acted arbitrarily and capriciously,"auto-openai:The sentence establishes a mandatory process for grievances that cannot be arbitrated, indicating a hard constraint on the grievance procedure."
32BJ_MA__0246,32BJ_MA_Janitorial_2027,53,"Article 48 Security Screening 48.1 In acknowledgement of the heightened security concerns common to the commercial real estate industry, the Employer and the Union agree to cooperate in complying with any and all security measures implemented by the Employer’s customers. 48.2 All employees shall be subject to security background checks at any time based on a customer requirement.",HARD,deontic:obligation|exception,3,Yes,HARD,"Employer, Union, employees",,,"auto-openai:The sentence imposes mandatory security measures and background checks on employees without discretion, indicating a hard constraint."
32BJ_MA__0244,32BJ_MA_Janitorial_2027,53,"Major changes shall not include reductions due to vacancies if the reduction is proportional to the reduction in the space to be cleaned, minor productivity adjustments, transfers, individual reassignments and changes in buildings that are less than 100,000 square feet. 47.3 The Employer will explain the changes to the employees in a meeting prior to the implementation at which a Union Representative may be present if the Union so desires. 47.4 Any reduction in the total hours worked in a building will be reduced by the layoff or transfer of the least senior affected employees except for reasons beyond the control of the Employer such as a reduction in the total number of hours which is less than a full or part-time employee or conditions prescribed by the building owner/agent.",HARD,deontic:prohibition|deontic:obligation|deontic:permission|exception,3,Yes,HARD,"Employer, Union, employees",,except for reasons beyond the control of the Employer such as a reduction in the total number of hours which is less than a full or part-time employee or conditions prescribed by the building owner/agent,"auto-openai:The sentence outlines mandatory procedures and conditions regarding employee reductions and changes, indicating a hard constraint."
32BJ_MA__0070,32BJ_MA_Janitorial_2027,20,"The employee must report for work by the date specified as the end date of the leave and will return to the same position, provided that such position is available at the time the employee returns to work.",HARD,deontic:obligation|exception,3,Yes,HARD,"employee, employer",,provided that such position is available at the time the employee returns to work,"auto-openai:The sentence imposes a mandatory requirement for the employee to report back to work by a specified date, making it a hard constraint."
32BJ_MA__0040,32BJ_MA_Janitorial_2027,17,"10.7 Employees are entitled to take all of their paid vacation at one time or during separate weeks or days throughout the year, subject to the Employer’s prior approval, which shall not be unreasonably denied and in accordance with operational needs.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,SOFT,"employees, employer",,"subject to the Employer’s prior approval, which shall not be unreasonably denied and in accordance with operational needs","auto-openai:The sentence outlines a discretionary entitlement for employees to take vacation, contingent upon employer approval, making it a soft constraint."
32BJ_MA__0068,32BJ_MA_Janitorial_2027,20,(6) months shall not be counted as continuous service. 13.5 The Employer shall not be responsible for any applicable Health and Welfare contributions and/or payments during any leave of absence granted under this Article except as required under applicable law. 13.6 Any requests for leave granted under this Article must be in writing.,HARD,deontic:prohibition|deontic:obligation|deontic:obligation|exception,3,Yes,HARD,"Employer, employee",leave_duration=6,except as required under applicable law,"auto-openai:The sentence specifies mandatory conditions regarding leave of absence and health contributions, indicating a hard constraint."
