sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
UTLA_LAU_0842,UTLA_LAUSD_2022_2025,134,"The employee must have rendered satisfactory certificated service for at least seven consecutive years (of at least 130 full days of paid time) immediately preceding the effective date of the leave, not more than two of which may be in substitute status, unless the District in its discretion waives such requirement; c.",HARD,deontic:obligation|deontic:permission|threshold|exception,4,Yes,HARD,"employee, District","min_years=7, min_days=130, max_substitute=2",unless the District in its discretion waives such requirement,"auto-openai:The sentence imposes a mandatory requirement for the employee's service duration and conditions, with a specific exception clause allowing for discretion by the District."
UTLA_LAU_0565,UTLA_LAUSD_2022_2025,99,"If mediation occurs but does not result in resolution of the issue(s), the unit member or the Union may proceed pursuant to Article V (Grievance Procedure), provided that a grievance must be filed directly at Step Two within 15 days of the conclusion of mediation.",HARD,deontic:obligation|deontic:permission|threshold|exception,4,Yes,HARD,"unit member, Union",15 days,provided that a grievance must be filed directly at Step Two,"auto-openai:The sentence establishes a mandatory timeframe for filing a grievance after mediation, indicating a hard constraint."
UTLA_LAU_0568,UTLA_LAUSD_2022_2025,99,"If mediation does not result in resolution of the issue(s), the Union may proceed pursuant to Article V (Grievance Procedure), provided that a grievance must be filed directly at Step Two within 15 days of the conclusion of mediation.",HARD,deontic:obligation|deontic:permission|threshold|exception,4,Yes,HARD,Union,15 days,provided that a grievance must be filed directly at Step Two,"auto-openai:The sentence establishes a mandatory timeframe for filing a grievance after mediation, indicating a hard constraint."
UTLA_LAU_0230,UTLA_LAUSD_2022_2025,52,"Such meetings are not to exceed 3 hours each day total unless a majority of the involved faculty consents. 4.5 Required Orientation In-Service for Teachers: Pursuant to California Code of Regulations 80026.5, classroom teachers serving on a fulltime emergency permit shall attend two",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"faculty, teachers",max_hours=3,unless a majority of the involved faculty consents,"auto-openai:The sentence establishes a maximum duration for meetings that is legally binding, with a specific exception for majority consent."
UTLA_LAU_0921,UTLA_LAUSD_2022_2025,143,"This leave runs concurrently with any other leave the District offers for which the employee is qualified, except that family care and medical leave granted for the birth or adoption of a child or placement of a child for foster care must be concluded within 12 months of that birth or adoption or placement for foster care. d.",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"District, employee",12 months,family care and medical leave granted for the birth or adoption of a child or placement of a child for foster care,"auto-openai:The sentence imposes a mandatory time limit on family care and medical leave, making it a hard constraint."
UTLA_LAU_0258,UTLA_LAUSD_2022_2025,58,"As an exception, and to be known as ""Flexible C Basis,” the 204 days of assignment for employees in year-round schools may occur at any time from July 1 to June 30, inclusive, provided that, notwithstanding any other provision to the contrary, the annual hours of paid holidays and related benefits are commensurate with those for the regular C Basis.",SOFT,deontic:permission|threshold|exception,4,Yes,SOFT,"employees, year-round schools",,"provided that, notwithstanding any other provision to the contrary","auto-openai:The sentence outlines a flexible scheduling option for employees, indicating discretion in the assignment of days, thus classifying it as a soft constraint."
UTLA_LAU_0256,UTLA_LAUSD_2022_2025,57,"As an exception, and to be known as ""Flexible B Basis"", the 221 days of assignment for employees in year-round schools may occur at any time from July 1 to June 30, inclusive, provided that, notwithstanding any other provision to the contrary, the annual hours of paid holidays and related benefits are commensurate with those for the regular B Basis. 2022-2025 UTLA Contract 39",SOFT,deontic:permission|threshold|exception,4,Yes,SOFT,"employees, year-round schools, UTLA",,"provided that, notwithstanding any other provision to the contrary","auto-openai:The sentence outlines a flexible scheduling option for employees, indicating discretion in the assignment of days, thus classifying it as a soft constraint."
UTLA_LAU_1467,UTLA_LAUSD_2022_2025,225,"Assignment to active service means all of the time for which pay is received, except sabbatical. 6.1 An employee who has served less than 19 years shall earn .06897 hour of vacation for each hour assigned to active service; beginning with the first pay period of the school year after an employee has served 19 school years the employee shall earn .07663 hour of vacation for each hour assigned to active service.",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"employee, union","min_vacation_19_years=0.07663, min_vacation_less_19_years=0.06897",sabbatical,"auto-openai:The sentence establishes mandatory vacation accrual rates based on years of service, which are legally binding."
UTLA_LAU_0564,UTLA_LAUSD_2022_2025,99,"If the District does not agree to mediation, the unit member or the Union may proceed pursuant to Article V (Grievance Procedure), provided that a grievance must be filed at Step One within 15 days of the District’s decision.",HARD,deontic:obligation|deontic:permission|threshold|exception,4,Yes,HARD,"District, unit member, Union",grievance_step_one_deadline=15days,,"auto-openai:The sentence establishes a mandatory requirement for filing a grievance within a specified timeframe, indicating a hard constraint."
UTLA_LAU_0861,UTLA_LAUSD_2022_2025,136,"Return rights to the previous work site shall be the same as for sabbatical leaves. 17.0 Personal Leave (Unpaid): An unpaid leave shall be granted to a permanent employee for a period not to exceed 52 consecutive calendar weeks, except as provided below, for a specific personal reason satisfactory to the District, including but not limited to the following: a.",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"employee, district",max_leave_duration=52 weeks,except as provided below,"auto-openai:The sentence specifies a mandatory condition for granting unpaid leave, indicating a clear limit on the duration and a specific requirement for approval."
