sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
CARPENTE_0353,Carpenters_PNW_AGC_2021_2024,43,On Sundays employees under pressure shall be paid 24 hours of double the straight time rate or actual hours worked (under pressure) if less than 24 in a given day Double Time 2 X straight time. 43 CARPENTERS 2021 - 2024,HARD,deontic:obligation|threshold,3,Yes,HARD,"employees, union",max_hours=24,if less than 24 in a given day,"auto-openai:The sentence specifies a mandatory payment condition for employees under pressure on Sundays, indicating a hard constraint."
CARPENTE_0122,Carpenters_PNW_AGC_2021_2024,13,"Once the starting times are established for the two-shift operation, they shall not be changed except upon three",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"operator, union",,upon three,"auto-openai:The sentence establishes a mandatory rule regarding the change of starting times, indicating that changes are only permissible under a specific condition."
CARPENTE_0301,Carpenters_PNW_AGC_2021_2024,36,The current cost of a soft goods package for required hat certifications shall be paid by the employer for employees with at least 750 hours worked for that employer over the past calendar year.,HARD,deontic:obligation|threshold,3,Yes,HARD,"employer, employee",min_hours=750,,auto-openai:The sentence imposes a mandatory obligation on the employer to pay for hat certifications for employees who meet the specified threshold of hours worked.
CARPENTE_0156,Carpenters_PNW_AGC_2021_2024,15,"In the event that timely notice is not given employees who report for work at their regular reporting time and are not put to work shall be paid ""show up pay."" This Article shall be subject to the grievance procedure set forth in Article 11.",HARD,deontic:obligation|exception,3,Yes,HARD,"employees, employer",,subject to the grievance procedure set forth in Article 11,"auto-openai:The sentence establishes a mandatory payment obligation for employees who report for work but are not put to work, indicating a hard constraint."
CARPENTE_0032,Carpenters_PNW_AGC_2021_2024,6,"A holiday shall be a twenty-four (24) hour period, beginning with the regular starting time of the first shift on the date of the holiday, unless otherwise mutually agreed to by the Employers and the Union.",HARD,deontic:obligation|exception,3,Yes,HARD,"Employers, Union",24 hours,unless otherwise mutually agreed to by the Employers and the Union,"auto-openai:The sentence establishes a mandatory definition of a holiday period, but allows for mutual agreement, indicating a hard constraint with an exception."
CARPENTE_0033,Carpenters_PNW_AGC_2021_2024,6,No work shall be performed on Labor Day except to protect life and property or by mutual agreement of the Union and the Employer.,HARD,deontic:obligation|exception,3,Yes,HARD,"Union, Employer",,to protect life and property or by mutual agreement of the Union and the Employer,"auto-openai:The sentence establishes a mandatory restriction on work during Labor Day with specific exceptions, indicating it is a hard constraint."
CARPENTE_0207,Carpenters_PNW_AGC_2021_2024,22,"Upon notification by the Trust Fund to the Employer of an elective deferral contribution request, the Employer shall withhold the specified amounts from the employee’s wages unless and until notified by the employee or Trust Fund of a change in the employee’s election that was made pursuant to the Trust Fund’s administrative procedures.",HARD,deontic:obligation|exception,3,Yes,HARD,"Employer, employee, Trust Fund",,unless and until notified by the employee or Trust Fund of a change in the employee’s election,"auto-openai:The sentence imposes a mandatory obligation on the Employer to withhold specified amounts from wages, indicating a hard constraint."
CARPENTE_0208,Carpenters_PNW_AGC_2021_2024,22,"Notwithstanding an employee’s election, all premium rates (foremen differentials, overtime, etc.) shall be calculated prior to the reduction for the employee’s elective deferral contributions.",HARD,deontic:obligation|exception,3,Yes,HARD,"employee, employer",,,auto-openai:The use of 'shall' indicates a legally mandatory requirement regarding the calculation of premium rates.
CARPENTE_0153,Carpenters_PNW_AGC_2021_2024,15,There shall be no limitations upon the choice of materials or design except those imposed by safety and health considerations.,HARD,deontic:obligation|exception,3,Yes,HARD,"operator, authority, union",,safety and health considerations,"auto-openai:The sentence imposes a mandatory requirement regarding the choice of materials or design, with the only limitation being safety and health considerations."
CARPENTE_0209,Carpenters_PNW_AGC_2021_2024,22,"Notwithstanding any provision herein to the contrary, the contribution levels to the Plan provided herein shall not cause the Plan to be in violation of Section 415 of the Internal Revenue Code (and any other sections of the Code); if necessary, adjustments to the contribution rates shall be agreed to by the Union and contributing Employers to comply with the Code.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"Union, Employers",,"if necessary, adjustments to the contribution rates shall be agreed to","auto-openai:The sentence imposes a mandatory requirement to comply with the Internal Revenue Code, indicating a hard constraint."
CARPENTE_0238,Carpenters_PNW_AGC_2021_2024,27,The Steward shall not be discharged or transferred except for just cause and shall remain on the job provided that there are at least four,HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"Steward, operator, union",,provided that there are at least four,"auto-openai:The sentence establishes a mandatory condition for the discharge or transfer of the Steward, indicating that it can only occur for just cause, which is a hard constraint."
CARPENTE_0163,Carpenters_PNW_AGC_2021_2024,16,"Notwithstanding the above, project agreements may be mutually agreed upon to allow use of the pre-determined wage rate for the duration of a project to exceed twenty-four (24) months SECTION 2.",SOFT,deontic:permission|exception,3,Yes,SOFT,"operator, union",max_duration=24months,subject to mutual agreement,"auto-openai:The sentence indicates that project agreements may allow for exceeding a specified duration, which is discretionary and subject to mutual agreement."
CARPENTE_0125,Carpenters_PNW_AGC_2021_2024,13,"Second Shift - The second shift shall be seven and one-half (7-1/2) hours of continuous employment, except for lunch period at mid-shift, and shall be paid for at eight",HARD,deontic:obligation|exception,3,Yes,HARD,"operator, union",max_hours=7.5,lunch period at mid-shift,"auto-openai:The sentence specifies a mandatory duration of the second shift and includes an exception for the lunch period, indicating it is a hard constraint."
CARPENTE_0291,Carpenters_PNW_AGC_2021_2024,35,"Unless otherwise specified in this addendum, Hours of Work and Overtime shall be in accordance with the appropriate geographic Area Principal Agreement.",HARD,deontic:obligation|exception,3,Yes,HARD,"operator, authority, union",,unless otherwise specified in this addendum,"auto-openai:The sentence establishes a mandatory requirement for Hours of Work and Overtime in accordance with the Principal Agreement, indicating a hard constraint."
CARPENTE_0069,Carpenters_PNW_AGC_2021_2024,9,"In cases of violation, misunderstandings or differences in interpretation of this Agreement, there shall be no cessation or stoppage of work.",HARD,deontic:obligation|exception,3,Yes,HARD,"operator, union",,,"auto-openai:The sentence imposes a mandatory requirement that work cannot cease or stop in the event of violations or misunderstandings, indicating a hard constraint."
CARPENTE_0313,Carpenters_PNW_AGC_2021_2024,38,A Dive Supervisor shall not dive except in a life-threatening emergency.,HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"operator, authority, union",,in a life-threatening emergency,"auto-openai:The sentence imposes a strict prohibition on diving except under specific emergency conditions, indicating a legally mandatory constraint."
