sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
CTU_CHES_0078,CTU_CHES_2024,18,Written notice of non-renewal shall be provided to provisional employees and Union 5 days prior to release of employment except where the provisional employees is being released for disciplinary reasons written notice of non-renewal will be provided to the Union 10 days prior to release of employment. 7.2.,HARD,deontic:obligation|threshold|exception,4,,,,,,
CTU_CHES_0361,CTU_CHES_2024,60,"Planning Periods/Prep Time: Except as otherwise set forth in this Agreement, Elementary Instructional Teaching Staff shall have no more than one thousand five hundred minutes of instruction per week and shall receive a minimum of three hundred (300) minutes of preparation time each week. 24.1.1.",HARD,deontic:obligation|exception,3,,,,,,
CTU_CHES_0224,CTU_CHES_2024,41,"The Employer shall make matching contributions to 403(b) account on behalf of all eligible, participating bargaining unit members of up to 3% prior to the completion of the 403(b) plan change effective date; upon completion of the 403(b) Plan Amendment effective date bargaining unit members who do not participate in CTPF shall be eligible for a matching contribution of up to 3% beginning at 1000 hour of service.",HARD,deontic:obligation|threshold,3,,,,,,
CTU_CHES_0619,CTU_CHES_2024,96,"An employee subject to layoff based on seniority shall be able to exercise their seniority for the following options in lieu of layoff, provided that the employee is qualified for the position based on certification, job title, or previous work experience within in the last five",HARD,deontic:obligation|exception,3,,,,,,
CTU_CHES_0620,CTU_CHES_2024,96,An employee subject to displacement by the above procedure shall be considered subject to layoff and shall have the right to exercise the same options.,HARD,deontic:obligation|exception,3,,,,,,
CTU_CHES_0081,CTU_CHES_2024,18,"Protections for Provisional Bargaining Unit Members: Except as provided in this Article, provisional bargaining unit members shall enjoy all rights and benefits of this Agreement during their provisional period and shall not be released from employment for availing themselves of said rights and benefits or for engaging in Union activity. 7.4.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
CTU_CHES_0247,CTU_CHES_2024,44,Office staff shall be given vacation time based on their total years of service with the Employer: • 1st year: 80 hours • 2nd - 4th years: 120 hours • 5th year and beyond: 176 hours 20.3.,HARD,deontic:obligation|threshold,3,,,,,,
CTU_CHES_0419,CTU_CHES_2024,65,"ELPT/BPCs and ELL Teachers shall not be assigned as substitute teachers unless all other available staff, excluding Special Education teachers, are unavailable or already assigned. 26.2.2.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
CTU_CHES_0071,CTU_CHES_2024,16,"The hiring committee will be ad hoc, and request volunteers to participate and the administration shall have the final authority to select the participants, provided that there will be a Union co-chair appointed by the Union on the committee.",HARD,deontic:obligation|exception,3,,,,,,
CTU_CHES_0240,CTU_CHES_2024,44,"Paid Time Off for Instructional Staff: Bargaining Unit Members, except NonInstructional Staff, shall have three",HARD,deontic:obligation|exception,3,,,,,,
CTU_CHES_0632,CTU_CHES_2024,97,"Any changes in job qualifications shall be discussed with the Union. 48.8. 12-Month Payroll Calendar: Bargaining unit members subject to layoff before May 1st shall be given thirty (30) calendar days’ notice or thirty (30) calendar days’ pay, benefits, and insurance in lieu of notice by the Employer prior to the effective date of the layoff.",HARD,deontic:obligation|deontic:permission|exception,3,,,,,,
CTU_CHES_0155,CTU_CHES_2024,26,"Once a severe unsafe working condition that is likely to cause severe bodily harm is reported by a bargaining unit member to the principal, an investigation shall occur within 24 hours of CTU’s notification to the management, and once completed the Union shall be notified of the results therein. 12.4.",HARD,deontic:obligation|threshold,3,,,,,,
CTU_CHES_0313,CTU_CHES_2024,53,"Instructional Staff: Instructional Staff shall, except as outlined below, have at least a continuous sixty (60) minute duty-free lunch period concurrent with student lunches each day. 21.8.2.",HARD,deontic:obligation|exception,3,,,,,,
CTU_CHES_0162,CTU_CHES_2024,27,Building Access: Bargaining unit members shall have access to the school building to which they are assigned from at least an hour and a half (1.5 hours) before the beginning of their workday until at least two,HARD,deontic:obligation|threshold,3,,,,,,
CTU_CHES_0321,CTU_CHES_2024,54,Bargaining unit employees shall receive the non-instructional rate for all work done planning or for additional time or duties working at additional school events as required by employer except as above in this section. b.,HARD,deontic:obligation|exception,3,,,,,,
CTU_CHES_0051,CTU_CHES_2024,13,"To hire bargaining unit employees, assign and direct their work, discharge or otherwise discipline employees for cause (except that Provisional Employees may be disciplined or discharged without cause), promote, demote, transfer, layoff and recall bargaining unit employees, except as explicitly agreed to in writing by the parties; c.",SOFT,deontic:permission|exception,3,,,,,,
CTU_CHES_0050,CTU_CHES_2024,13,"The Employer, in exercising its powers and authority may consider input from bargaining unit members, and any committees created by this Agreement, but all final decisions will rest with the Employer, except as explicitly set forth in this Agreement.",SOFT,deontic:permission|exception,3,,,,,,
CTU_CHES_0400,CTU_CHES_2024,64,Substitute Teaching: Special Education teachers shall not be assigned as substitute teachers unless all other available instructional and support staff are unavailable or already assigned. 25.7.,HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
CTU_CHES_0047,CTU_CHES_2024,12,"In the event of any such claim, no settlement shall be made without the Union’s prior written permission. 4.8.5.",HARD,deontic:obligation|exception,3,,,,,,
CTU_CHES_0297,CTU_CHES_2024,50,Bargaining Unit Members shall not be required to make up any days canceled due to inclement weather unless the day(s) need to be made up in order to meet the necessary number of instructional days required by ISBE.,HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
CTU_CHES_0142,CTU_CHES_2024,24,"Academic freedom shall also mean that Instructional Staff shall be entitled to freedom of discussion within the classroom on all matters which are relevant to the subject matter under study and within their areas of professional competence, assuming that all facts concerning controversial issues shall be presented in a scholarly and objective manner, and assuming that all discussion shall be maintained within the outlines of appropriate course content, be pedagogically justifiable, and be subject to the standards of good taste. 10.4.",HARD,deontic:obligation|exception,3,,,,,,
CTU_CHES_0250,CTU_CHES_2024,44,"Sick leave days shall be available for use by the member for a personal or immediate family member illness or other physical impairment, provided that the Employer shall be entitled upon request to a medical-care provider’s verification of such illness. 20.4.1.",HARD,deontic:obligation|exception,3,,,,,,
CTU_CHES_0575,CTU_CHES_2024,86,The Employer shall not voluntarily permit access to its property or any records contained therein by agents of ICE unless legally required to do so.,HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
CTU_CHES_0583,CTU_CHES_2024,88,"The Employer shall not inquire about or demand proof of immigration or citizenship status, except as required by law. 41.2.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
CTU_CHES_0267,CTU_CHES_2024,46,Personal leave shall be unpaid unless the bargaining unit employee is otherwise eligible to use accrued benefit time during the leave in accordance with applicable provisions of this Agreement. 20.14.,HARD,deontic:obligation|exception,3,,,,,,
CTU_CHES_0116,CTU_CHES_2024,21,"Disciplinary Steps: Generally, discipline shall be progressive in nature, shall apply to same or similar acts of misconduct, and shall follow these progressive steps: Step 1: Documented verbal warning Step 2: Written warning Step 3: Unpaid suspension or Final Written Warning Step 4: Additional discipline or dismissal at the Employer’s discretion Except for instances of severe misconduct, defined as enumerated offenses in the Illinois School Code and the following offenses: falsification of record, theft, use of prohibited substances on agency property, possession of or storing of a weapon, reckless disregard causing endangerment or injury to another or damage to property, sleeping on the job while caring for or supervising children, and ten (10) days of absence without notice.",HARD,deontic:obligation|exception,3,,,,,,
CTU_CHES_0589,CTU_CHES_2024,88,"Any dispute regarding the meaning, interpretation, or application of this Article shall be subject to the grievance and arbitration procedure.",HARD,deontic:obligation|exception,3,,,,,,
CTU_CHES_0271,CTU_CHES_2024,47,Pay During Childrearing Leave: Childrearing leave shall be unpaid unless the bargaining unit employee is otherwise eligible to use accrued benefit time during the leave in accordance with the applicable provisions of this Agreement. 20.16.,HARD,deontic:obligation|exception,3,,,,,,
CTU_CHES_0591,CTU_CHES_2024,89,"The CPS Guidelines shall not be subject to the Grievance Procedure, in addition to any guidelines created by the Employer and the language below: 42.1.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
CTU_CHES_0576,CTU_CHES_2024,86,"Nor shall the Employer otherwise release to any third parties, other than the Union, any information pertaining to immigration status except with the bargaining unit member’s written consent or as required by law.",HARD,deontic:obligation|exception,3,,,,,,
CTU_CHES_0442,CTU_CHES_2024,68,"That allocation shall continue provided that Christopher House retains the same overall budget and student enrollment as this (2023-2024) school year from CPS, excluding ESSER funds, to support students with High School placement, social emotional, postsecondary, and academic needs. 28.2.",HARD,deontic:obligation|exception,3,,,,,,
CTU_CHES_0291,CTU_CHES_2024,50,"Bargaining unit members, except Non-Instructional Staff, shall receive no fewer than ten (10) workdays of winter break, no fewer than five",HARD,deontic:obligation|exception,3,,,,,,
CTU_CHES_0440,CTU_CHES_2024,67,"Members teaching summer school shall continue to be accorded all rights detailed elsewhere in this agreement, including due process, grievance, but shall not be subject to the evaluation procedures found in Article 51.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
CTU_CHES_0282,CTU_CHES_2024,48,"Effective upon ratification, eligible members shall be granted in the following paid parental leaves, in conjunction with and as part of an approved FMLA leave: • 12-23 months of service: Three",HARD,deontic:obligation|threshold,3,,,,,,
CTU_CHES_0097,CTU_CHES_2024,20,"Grievances concerning discipline shall be initiated at Step 2, unless otherwise agreed by the parties. 8.7.",HARD,deontic:obligation|exception,3,,,,,,
CTU_CHES_0433,CTU_CHES_2024,66,"To the greatest extent possible, this meeting time shall take place within 3 weeks of report card conference. 26.4.",HARD,deontic:obligation|threshold,3,,,,,,
CTU_CHES_0138,CTU_CHES_2024,23,"Stale Discipline: Notwithstanding the provisions herein, the Employer shall not rely on active employees’ records of disciplinary action for any labor relations purposes fourteen (14) months after the issuance of the disciplinary action, unless a bargaining unit member has advanced to a subsequent disciplinary step; provided that nothing in this Section shall be construed to prevent or limit the Employer from relying on or viewing any disciplinary records of former employees seeking to be rehired by the Employer.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
CTU_CHES_0289,CTU_CHES_2024,49,"Failure to Return: If a bargaining unit employee does not return to work at the conclusion of an approved leave or its extension after ten (10) days, the bargaining unit employee shall be deemed absent without leave and dismissed, subject to the terms of the Discipline article of this agreement.",HARD,deontic:obligation|exception,3,,,,,,
CTU_CHES_0290,CTU_CHES_2024,50,"Work year for Instructional Staff: Unless otherwise specified in this Agreement, the work year for all bargaining unit members, except non-instructional staff, shall be one hundred eighty-six (186) days for returning instructional staff members and up to one hundred eighty-nine (189) days for 1st year employees, which shall consist of one hundred seventy-six (176) days of student attendance and ten (10) required professional development or teacher institute days and two",HARD,deontic:obligation|exception,3,,,,,,
CTU_CHES_0169,CTU_CHES_2024,27,"Student Medications: Except in emergency, no teachers or paraprofessionals may be required by the Employer to provide or administer medication to students or be disciplined for the refusal to do so.",SOFT,deontic:permission|exception,3,,,,,,
CTU_CHES_0061,CTU_CHES_2024,15,All committee meetings shall take place during non-work or lunch times unless mutually agreed otherwise.,HARD,deontic:obligation|exception,3,,,,,,
