sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
32BJ_BOS_0013,32BJ_BostonU_2018_2022,4,"Seniority shall determine, on a departmental basis, order of layoff and recall and vacation preference, except that the existing second (2nd), third (3rd), and weekend shifts shall be staffed by a maximum of 8 electricians for the Electric Shop and a combination of plumbers and HVAC mechanics (not to exceed eight (8)) will be used to staff these shifts in the Plumbing and HVAC Shop in a manner to be determined by the University.",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"University, electricians, plumbers, HVAC mechanics","max_electricians=8, max_plumbers_HVAC=8",,"auto-openai:The sentence establishes a mandatory staffing limit for shifts, indicating a hard constraint on the number of electricians and plumbers/HVAC mechanics."
32BJ_BOS_0190,32BJ_BostonU_2018_2022,16,(2) years shall not be used for future discipline except when the alleged offense is of the same nature as that cited in the letter. 5.,HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"operator, union",,when the alleged offense is of the same nature as that cited in the letter.,"auto-openai:The sentence establishes a mandatory rule regarding the use of past discipline for future actions, indicating no discretion is allowed except under specific conditions."
32BJ_BOS_0170,32BJ_BostonU_2018_2022,15,"There shall be no discrimination by either the University or the Union, except as permitted by federal or state law, in connection with the employment or union membership of any person on account of their race, color, religious creed, sex, national or ethnic origin, genetic information, ancestry, marital status, parental status, veteran status, disability, gender identity, sexual orientation or age. 2.",HARD,deontic:obligation|exception,3,Yes,HARD,"University, Union",,except as permitted by federal or state law,"auto-openai:The sentence establishes a mandatory non-discrimination requirement that must be followed, with a specific legal exception."
32BJ_BOS_0211,32BJ_BostonU_2018_2022,18,The normal workweek for Custodians (excluding Limited Part-Time Custodians) shall be one of the following: Monday through Friday Tuesday through Saturday Wednesday through Sunday The University shall not change the above workweeks unless it determines that conditions so require.,HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"University, Custodians",,unless it determines that conditions so require,"auto-openai:The sentence establishes a mandatory workweek schedule for Custodians that cannot be changed without specific conditions being met, indicating a hard constraint."
32BJ_BOS_0149,32BJ_BostonU_2018_2022,13,"In order to be entitled to daily or weekly overtime in any week, the employee must work their basic workday or basic workweek (holidays excepted) unless their absence from work during such week was due to approved paid sick leave, or is due to layoff.",HARD,deontic:obligation|exception,3,Yes,HARD,employee,,"holidays excepted, approved paid sick leave, layoff","auto-openai:The sentence establishes a mandatory condition for entitlement to overtime, specifying that the employee must work their basic workday or week, with specific exceptions noted."
32BJ_BOS_0238,32BJ_BostonU_2018_2022,23,(Any overtime payments for an operator of “heavy equipment” shall be calculated on their regular base rate and overtime shall not be pyramided or duplicated.) The provisions of this Note shall apply to all individuals except each individual who is classified as a Custodian-Zamboni Operator.,HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"operator, heavy equipment, Custodian-Zamboni Operator",,each individual who is classified as a Custodian-Zamboni Operator,"auto-openai:The sentence establishes a mandatory rule regarding overtime payments for operators of heavy equipment, with a specific exception for Custodian-Zamboni Operators."
32BJ_BOS_0027,32BJ_BostonU_2018_2022,5,"Suspensions or administrative leaves necessitated by University investigations shall be with pay, but not subject to challenge.",HARD,deontic:obligation|exception,3,Yes,HARD,"University, employee",,,"auto-openai:The sentence establishes a mandatory condition regarding suspensions or administrative leaves that must be with pay and cannot be challenged, indicating a hard constraint."
32BJ_BOS_0207,32BJ_BostonU_2018_2022,18,"Union stewards, the number not to exceed thirty-two (32), shall have paid release time of 1 hour quarterly. 4.",HARD,deontic:obligation|threshold,3,Yes,HARD,"union, stewards","max_stewards=32, paid_release_time=1hour_quarterly",,"auto-openai:The sentence specifies a mandatory limit on the number of union stewards and their paid release time, indicating a hard constraint."
32BJ_BOS_0025,32BJ_BostonU_2018_2022,5,"In cases of terminations, the Union may initiate grievances at Step 3 of the grievance procedure with the Office of Human Resources.",SOFT,deontic:permission|exception,3,Yes,SOFT,"Union, Office of Human Resources",,,"auto-openai:The sentence indicates that the Union has the option to initiate grievances, which implies discretion rather than a mandatory requirement."
32BJ_BOS_0024,32BJ_BostonU_2018_2022,5,"In cases of suspensions, the Union may initiate grievances at Step 2 of the grievance procedure.",SOFT,deontic:permission|exception,3,Yes,SOFT,Union,,,"auto-openai:The sentence indicates that the Union has the discretion to initiate grievances at a specific step, which classifies it as a soft constraint."
