constraint_id,domain,constraint_type,issue,raw_text
AFSCME_N_0268,municipal,SOFT,GPT extraction failed — used fallback,"Also, a permanent employee may bump any of the following provided that he/she has more seniority than the employee to be"
AFSCME_N_0119,municipal,HARD,GPT extraction failed — used fallback,Derogatory material which is not merged in the service rating next following shall be considered void after the time for
AFSCME_N_0835,municipal,HARD,"Threshold mismatch: annotation=2024.0, GPT=8","The provisions of CGS 5-270 et seq. and the regulations thereto notwithstanding, the next window period for this bargain"
AFSCME_N_0966,municipal,HARD,GPT extraction failed — used fallback,Unit Specific Disputes Disputes regarding the interpretation or application of this agreement to a specific bargaining u
AFSCME_N_0516,municipal,SOFT,GPT extraction failed — used fallback,The State shall continue to investigate and give further consideration to the feasibility of consolidating classes as re
AFSCME_N_0656,municipal,HARD,GPT extraction failed — used fallback,(2) an eligible employee employed on less than a full-time basis shall be granted leave in proportion to the amount of t
AFSCME_N_0962,municipal,SOFT,GPT extraction failed — used fallback,Any dispute regarding the interpretation or application of the general provisions of the agreement may be submitted to t
AFSCME_N_0558,municipal,HARD,GPT extraction failed — used fallback,The payment shall be made as of the date the increment would have applied (e.g.
AFSCME_N_0550,municipal,HARD,GPT extraction failed — used fallback,"Effective July 1, 2022, the base annual salary for all employees shall be increased by two and one-half percent (2.5%) f"
AFSCME_N_0524,municipal,SOFT,GPT extraction failed — used fallback,"A temporary employee shall receive such benefits as provided by state or federal law, and such additional benefits as cu"
AFSCME_N_0594,municipal,HARD,GPT extraction failed — used fallback,This shall be a one-time opportunity and the employees who choose the standard plan will not be allowed to change to the
AFSCME_N_0604,municipal,SOFT,GPT extraction failed — used fallback,Permanent part-time employees who do not meet the hours threshold of state and federal law shall continue to be eligible
AFSCME_N_0786,municipal,HARD,GPT extraction failed — used fallback,"If the appearance requires the employee’s presence beyond his/her normal workday, all time beyond the normal work day sh"
AFSCME_N_0855,municipal,SOFT,GPT extraction failed — used fallback,The Department may revise the Swap Request Form.
AFSCME_N_0870,municipal,HARD,GPT extraction failed — used fallback,Copies of approved/denied SWAP Request Slips shall be distributed as follows: Original to first employee Copy to second 
AFSCME_N_0875,municipal,HARD,"Threshold mismatch: annotation=1.0, GPT=7",Any resulting vacant shift shall be posted via teletype for not less than one week and any permanent dispatcher at any C
AFSCME_N_0751,municipal,SOFT,GPT extraction failed — used fallback,The Union may file a grievance up to Step III of the grievance procedure concerning a pattern of failing to consider tra
AFSCME_N_0507,municipal,HARD,GPT extraction failed — used fallback,Temporary assignments to higher classifications shall not be used to circumvent the merit system.
AFSCME_N_0189,municipal,HARD,GPT extraction failed — used fallback,"(b) Effective and retroactive to July 1, 2021, there shall be $225,000 appropriated in each year of this contract for th"
AFSCME_N_0151,municipal,HARD,GPT extraction failed — used fallback,"(a) In 2021-2022, there shall be no new money appropriated to finance attendance at workshops, seminars or conferences b"
AFSCME_N_0233,municipal,HARD,GPT extraction failed — used fallback,State service while working in a trainee class shall not accrue until permanent appointment after successful completion 
AFSCME_N_0206,municipal,HARD,GPT extraction failed — used fallback,"Otherwise, the Working Test Period shall begin on the date of original permanent appointment."
AFSCME_N_0216,municipal,HARD,GPT extraction failed — used fallback,Any employee who is promoted to another agency and who fails a Promotional Working Test Period shall be returned to her/
AFSCME_N_0052,municipal,SOFT,GPT extraction failed — used fallback,The State Employer shall continue its practice of payroll deductions as authorized by employees for purposes other 8
AFSCME_N_0061,municipal,HARD,GPT extraction failed — used fallback,Employer representatives shall deal with Union designated stewards or representatives exclusively in the processing of g
AFSCME_N_0138,municipal,HARD,GPT extraction failed — used fallback,"When an employee is rated unsatisfactory in any category, the rating supervisor shall state the reasons and suggestions "
AFSCME_N_0094,municipal,HARD,GPT extraction failed — used fallback,Up to forty (40) Union designated officers shall be granted an additional day of leave without loss of pay or benefits t
AFSCME_N_0496,municipal,HARD,GPT extraction failed — used fallback,Appeal rights shall accrue only if reassignment to the former position occurs on or after the thirty-first (31) consecut
