sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
32BJ_DC__0034,32BJ_DC_WSCA_2023_2027,8,"(4) hours per shift, except that in buildings of at least 100,000 square feet in Washington, DC, the minimum shift shall be five",HARD,deontic:obligation|threshold|exception,4,,,,,,
32BJ_DC__0038,32BJ_DC_WSCA_2023_2027,8,"The Employer agrees that any newly constructed or fully renovated buildings or a contiguous group of buildings under common ownership or management of at least 350,000 square feet of net rentable commercial office space in Washington, DC that are not in Appendix E, or any building of at least 350,000 square feet or a group of contiguous buildings under common ownership or management of net rentable commercial office space in Washington, DC that becomes covered by this Agreement for the first time, will be cleaned by employees with a thirty (30) hour minimum workweek, except that up to twenty percent (20%) of the cleaning hours may be cleaned by part-time employees with a minimum shift of four",SOFT,deontic:permission|threshold|exception,4,,,,,,
32BJ_DC__0327,32BJ_DC_WSCA_2023_2027,45,"(5) sick days at the start of the Employer's sick leave year, provided that at a minimum, the Employee shall receive prorated sick leave 42",HARD,deontic:obligation|exception,3,,,,,,
32BJ_DC__0319,32BJ_DC_WSCA_2023_2027,44,"(6) sick days at the start of the Employer's sick leave year provided that at a minimum, the Employee shall receive prorated sick leave based on the difference between the Employee's first anniversary and the beginning of the Employer's calendar year.",HARD,deontic:obligation|exception,3,,,,,,
32BJ_DC__0246,32BJ_DC_WSCA_2023_2027,30,"Additionally, employees shall be subject to security background checks at any time upon a written customer requirement whether in bid specifications or simply a request by the customer.",HARD,deontic:obligation|exception,3,,,,,,
32BJ_DC__0074,32BJ_DC_WSCA_2023_2027,13,"If the meeting and bargaining do not result in an agreement to cure the noncompliance within sixty (60) calendar days of either party first receiving notice of noncompliance, then the Employer may provide written notice to the Union that it is withdrawing from the Fund and the parties shall continue to meet to bargain over health coverage, provided that the no-strike provisions contained in Article 13 of this Agreement shall cease to apply upon the date on which the Employer provides written notice that it is withdrawing from the Fund.",HARD,deontic:obligation|deontic:permission|exception,3,,,,,,
32BJ_DC__0072,32BJ_DC_WSCA_2023_2027,13,"(2) cause the Employer to become subject to a penalty, fine, tax or other assessable payment under the ACA or any related law or regulation (""noncompliance""), the party receiving notice of such noncompliance shall provide a copy of such notice to the other party within five",HARD,deontic:obligation|exception,3,,,,,,
32BJ_DC__0323,32BJ_DC_WSCA_2023_2027,45,"Upon the Employee's first anniversary, they will be entitled to receive full allotment of sick days at the start of the Employer's sick leave year, provided that at a minimum, the Employee shall receive prorated sick leave based on the difference between_the Employee's first anniversary and the beginning of the Employer's calendar year.",HARD,deontic:obligation|exception,3,,,,,,
32BJ_DC__0158,32BJ_DC_WSCA_2023_2027,22,"An employee who, during the course of progressive discipline, commits an act in Section 1, may be subject to discipline up to and including termination without adherence to progressive discipline.",SOFT,deontic:permission|exception,3,,,,,,
32BJ_DC__0243,32BJ_DC_WSCA_2023_2027,29,"Such change shall not be the sole basis of adverse employment action, notwithstanding any information or documents provided at the time of hire. 26",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
32BJ_DC__0067,32BJ_DC_WSCA_2023_2027,12,The Employer shall not be responsible or liable for any premium payments for Employees electing dependent care coverage of any kind except for payments authorized by the Employee and available through payroll deduction and except where the Employer has not provided the Fund with notice of an employee's termination or change to inactive status as required by the Fund's Collection Policy.,HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
32BJ_DC__0299,32BJ_DC_WSCA_2023_2027,38,"(7) sick days at the start of the Employer's sick leave year provided that at a minimum, the Employee shall receive prorated 35",HARD,deontic:obligation|exception,3,,,,,,
32BJ_DC__0317,32BJ_DC_WSCA_2023_2027,44,"(5) sick days at the start of the Employer's sick leave year provided that at a minimum, the Employee shall receive prorated sick leave based on the difference between the Employee's first anniversary and the beginning of the Employer's calendar year.",HARD,deontic:obligation|exception,3,,,,,,
32BJ_DC__0242,32BJ_DC_WSCA_2023_2027,29,"Except as prohibited by law, when an employee presents satisfactory evidence of a name or social security number change, or updated work authorization documents, the Employer shall modify its records to reflect such change and the employee's seniority will not be affected.",HARD,deontic:obligation|exception,3,,,,,,
32BJ_DC__0330,32BJ_DC_WSCA_2023_2027,46,"(6) sick days at the start of the Employer's sick leave year, provided that at a minimum, the Employee shall receive prorated sick leave based on the difference between_the Employee's first anniversary and the beginning of the Employer's calendar year.",HARD,deontic:obligation|exception,3,,,,,,
32BJ_DC__0333,32BJ_DC_WSCA_2023_2027,47,"In addition, the Union will not engage in strikes, work stoppages, slowdowns or similar forms of interference of work against The Employer in conjunction with its organizing efforts of the Employer's employees except, in connection with paragraph 8 of this procedure, after the arbitrator issues an award finding a violation, or if the dispute is not resolved, within twenty (20) days after selection of the arbitrator whichever shall come first. 3.",HARD,deontic:obligation|exception,3,,,,,,
32BJ_DC__0059,32BJ_DC_WSCA_2023_2027,11,"Should an audit show that an employer providing alternative health care coverage under this Section is in violation of this Article, the Employer shall be subject to the following penalties: a) Should the audit show that the Employer has violated the Agreement with respect to health coverage, the Employer shall reimburse the Union for the expense of such audit; b) Should the parties reach an agreement over a dispute regarding months where employees were not provided coverage in accordance with this Article without submitting the dispute to arbitration or other legal venue, the Employer shall pay a penalty for each month of missed coverage equal to the contribution rate for the same month for coverage under this Agreement, plus nine percent (9.0%) annual interest, charged monthly.",HARD,deontic:obligation|deontic:preference|exception,3,,,,,,
32BJ_DC__0336,32BJ_DC_WSCA_2023_2027,47,"(7) days following receipt of a notice of intent to organize, a short informational meeting (of approximately 20 minutes duration) for each shift shall be scheduled at the mutual convenience of the Employer and the Union at each affected site, at which the Employer and Union shall jointly address the employees.",HARD,deontic:obligation|threshold,3,,,,,,
32BJ_DC__0167,32BJ_DC_WSCA_2023_2027,23,"For disputes involving basic wage violations or failure to remit or deduct dues, initiation fees or political contributions, and where there is no bona fide dispute whether the monies are due and owing, the grievance shall be submitted within 180 days from the date of the initial violation or failure to remit or deduct dues.",HARD,deontic:obligation|threshold,3,,,,,,
32BJ_DC__0053,32BJ_DC_WSCA_2023_2027,10,"(b) with respect to the one-time Health Care Savings approved by the Trustees of the Health Fund, the monthly rates of contribution per eligible employees are as follows: Effective January 1, 2024 $600 Effective January 1, 2025 $624 Effective January 1, 2026 $649 Effective January 1, 2027 $678 b, Notwithstanding the rates set forth above in paragraph (a), based on the one-time Health Care Savings approved by the Trustees of the Health Fund which is reflected below in the contribution rates for 2024 through 2026, the Employer shall contribute the following adjusted monthly rates per eligible employee: Effective January 1, 2024 $577 Effective January 1, 2025 $577 Effective January 1, 2026 $627 Effective January 1, 2027 $678. 1.2.",HARD,deontic:obligation|exception,3,,,,,,
32BJ_DC__0248,32BJ_DC_WSCA_2023_2027,30,Any employee who refuses to cooperate shall be subject to termination.,HARD,deontic:obligation|exception,3,,,,,,
32BJ_DC__0249,32BJ_DC_WSCA_2023_2027,30,"In cases where a contractor takes over a building and does a security background check on a predecessor employee and such employee is found to have something on his record which would normally disqualify him/her from employment under the Employer's employment policies, the Employer may choose not to hire such employee, provided that the Employer's decision not to hire shall not be arbitrary, discriminatory, or in retaliation for protected activities.",HARD,deontic:prohibition|deontic:obligation|deontic:permission|exception,3,,,,,,
32BJ_DC__0044,32BJ_DC_WSCA_2023_2027,9,"Arlington County Conversion: In the event the process of converting Arlington buildings to fulltime results in a building having more part-time employees than the Employer needs in that building, then the least senior employees shall be laid off in accordance with Article 14 of this Agreement, except that in the event a shop steward in a building is scheduled to be laid off in accordance with this Section, he or she shall have superseniority, such that the Employer shall retain the shop steward in a part time position.",HARD,deontic:obligation|exception,3,,,,,,
32BJ_DC__0268,32BJ_DC_WSCA_2023_2027,32,"In the event the Employer sells or transfers all or any part of its business or accounts which are subject to this Agreement, the Employer shall require the acquiring employer to assume this Agreement.",HARD,deontic:obligation|exception,3,,,,,,
32BJ_DC__0121,32BJ_DC_WSCA_2023_2027,18,"Its hall be a condition of employment that all employees covered by this Agreement, except those areas in Virginia that are not federal enclaves, shall become and remain members in the Union on the thirty-first (31°) day following the date this Article applies to their work location or their date of employment, whichever is later.",HARD,deontic:obligation|exception,3,,,,,,
