sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
IBEW_124_0188,IBEW_1245_PGE_2022_2025,33,"If an Ad Hoc Negotiating Committee is unable to reach a disposition of the ""suspended"" case within 180 days of the date the case was suspended, and if within that period of time neither party has notified the other in writing of their intent to submit said case to arbitration, then at the expiration of said 180 days, the case shall be automatically closed without prejudice, unless there is mutual agreement that the case be terminated by other means.",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"Ad Hoc Negotiating Committee, parties",180,unless there is mutual agreement that the case be terminated by other means,"auto-openai:The sentence establishes a mandatory timeline for resolving a suspended case, with specific conditions for closure, indicating a hard constraint."
IBEW_124_0802,IBEW_1245_PGE_2022_2025,94,"(a) There shall be included as part of the eight hours worked at the overtime rate in such 16 hour period any travel time and mealtime to which the employee is entitled when emergency or prearranged work is performed except that any travel time and mealtime to which the employee is entitled after being dismissed from work shall not be included as hours worked in such period, but it shall be included in the computation of the eight hour rest period.",HARD,deontic:prohibition|deontic:obligation|threshold|exception,4,Yes,HARD,"employee, operator",max_hours=8,any travel time and mealtime after being dismissed from work shall not be included,"auto-openai:The sentence establishes a mandatory rule regarding the inclusion of travel time and mealtime in the computation of hours worked, with a specific exception for time after dismissal."
IBEW_124_1082,IBEW_1245_PGE_2022_2025,131,"(Amended 4-16-21) 500.2 AMENDMENT -- NOTICE Except as provided otherwise herein, if either party desires to amend this Agreement, it shall give notice thereof to the other party 120 days prior to the end of the then current term, in which event the parties shall commence negotiations on any proposed amendment as soon as practicable after such notice has been given.",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"operator, authority",120 days,,"auto-openai:The sentence establishes a mandatory requirement for notice prior to amending the agreement, using 'shall' which indicates a hard constraint."
IBEW_124_0299,IBEW_1245_PGE_2022_2025,44,"(a) In the event of a serious injury or fatal accident involving any employee covered by this Agreement, Company shall notify Union as soon as possible, but not later than 24 hours after such occurrence.",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"Company, Union",24 hours,,"auto-openai:The sentence imposes a mandatory requirement for the Company to notify the Union within a specified timeframe after a serious incident, indicating a hard constraint."
IBEW_124_1088,IBEW_1245_PGE_2022_2025,131,"(Amended 4-16-21) 500.4 APPROPRIATE UNIT CHANGE Notwithstanding the provisions of Section 500.1, either party may give to the other 30 days written notice of the proposed amendment of this Agreement in the event that an administrative or judicial tribunal having jurisdiction to do so shall determine that the unit described in Section 2.1 hereof is inappropriate for the purpose of collective bargaining. 117",HARD,deontic:obligation|deontic:permission|threshold|exception,4,Yes,SOFT,"party, administrative tribunal",,notwithstanding the provisions of Section 500.1,"auto-openai:The sentence allows either party to propose an amendment with written notice, indicating a discretionary action rather than a mandatory requirement."
IBEW_124_0843,IBEW_1245_PGE_2022_2025,99,"(Amended 1-1-91) 212.7 TEMPORARY UPGRADES Employees temporarily upgraded, whether on a time-card basis or not, shall have overtime worked or credited at the temporary rate posted to their permanent classification. 212.8 EXTENSION OF WORKDAY For purposes of this procedure when overtime results because of unanticipated continuation of the workday, such overtime will be recorded as emergency overtime. 212.9 MAJOR EMERGENCY In the event of an emergency situation where more than 50 percent of the employees in a given headquarters are called out, an employee refusing or who cannot be reached will nevertheless be credited with the mean overtime of those working during the given emergency situation. 212.10 SERVICE EMPLOYEES In the distribution of emergency overtime for service personnel, the purpose and intent described in Subsection 212.1(a) shall be applicable; but the current call-out procedure shall remain in effect unless specifically changed by written agreement between the Labor Relations Representative and the appropriate Business Representative.",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"employees, labor relations representative, business representative",,unless specifically changed by written agreement,"auto-openai:The sentence outlines mandatory procedures for overtime and emergency situations, indicating a hard constraint on employee treatment during such events."
IBEW_124_0926,IBEW_1245_PGE_2022_2025,109,"(b), (c), the employees involved will be paid at the overtime rate for work performed in the regular lunch period and may eat their lunch on Company time. 302.6 HOURS -- BOARDINGHOUSE Notwithstanding the provisions of Section 302.5 hereof, the eight hours of work of employees who are employed in boardinghouses may be spread over a 13 hour period each day. 302.7 OVERTIME -- HOURS CHANGE Further notwithstanding the provisions of Section 302.5 hereof, Company may change the regular hours of work of any employee when necessary, in which event overtime compensation shall not be paid for time worked outside of regular work hours except during the first four workdays following such change.",HARD,deontic:prohibition|deontic:obligation|deontic:permission|threshold|exception,4,Yes,HARD,"company, employees",max_hours=13,overtime compensation shall not be paid for time worked outside of regular work hours except during the first four workdays following such change,"auto-openai:The sentence outlines mandatory payment conditions and work hour regulations, indicating a legally binding requirement."
IBEW_124_0214,IBEW_1245_PGE_2022_2025,36,"Except in emergencies, employees shall make a good faith effort to notify their supervisor at least 24 hours in advance for all floating holidays which are not scheduled in accordance with Section 111.13.",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"employees, supervisor",min_notice=24hours,emergencies,"auto-openai:The sentence imposes a mandatory requirement for employees to notify their supervisor with a specific notice period, making it a hard constraint."
IBEW_124_0512,IBEW_1245_PGE_2022_2025,65,"employee having ten workdays at the straight rate of pay in the payroll period involved in the change. 202.4 HOURS - GENERAL RULE In general, and except as otherwise provided herein, the regular hours of work shall be from 8 a.m. to 12 o'clock noon and from 12:30 p.m. to 4:30 p.m., or from 8 a.m. to 12 o'clock noon and from 1 p.m. to 5 p.m.; provided, however, that the regular lunch period may be advanced or delayed one hour or less for any of the following reasons, namely,",HARD,deontic:obligation|deontic:permission|threshold|exception,4,Yes,HARD,"employee, operator",max_hours=8,"provided, however, that the regular lunch period may be advanced or delayed one hour or less for any of the following reasons, namely,","auto-openai:The sentence specifies mandatory work hours and conditions under which lunch periods can be adjusted, indicating a legally binding requirement."
IBEW_124_1222,IBEW_1245_PGE_2022_2025,161,No contracting or hiring hall personnel may be used in the affected department within 12 months of any Title 206 or 306 activity unless the rehire list for that department has been exhausted. 4.,SOFT,deontic:permission|threshold|exception,4,Yes,HARD,"contracting personnel, hiring hall personnel, department",12 months,unless the rehire list for that department has been exhausted,"auto-openai:The sentence imposes a mandatory restriction on the use of certain personnel within a specified timeframe, indicating a hard constraint."
