constraint_id,domain,constraint_type,issue,raw_text
1199SEIU_0202,healthcare,HARD,"Threshold mismatch: annotation=2.0, GPT=8","Employees shall be entitled to paid sick leave in any year, calculated from the anniversary of employment, figured at st"
1199SEIU_0067,healthcare,HARD,"Threshold mismatch: annotation=3.0, GPT=0.6",Part-time employees who are regularly scheduled to work less than three-fifths (3/5) of the regular work week applicable
1199SEIU_0066,healthcare,HARD,"Threshold mismatch: annotation=3.0, GPT=0.6",(f) Part-time employees who regularly are scheduled to work three-fifths (3/5) or more of the regular work week applicab
1199SEIU_0139,healthcare,HARD,Annotation has threshold '90' but GPT returned none,(i) a period for which the Employee is entitled to receipt of disability or workers compensation payments from the NBF o
1199SEIU_0137,healthcare,HARD,Annotation has threshold '90' but GPT returned none,(i) a period for which the Employee is entitled to receipt of disability or workers compensation payments from the NBF o
2021-202_0913,healthcare,HARD,"Threshold mismatch: annotation=2.0, GPT=500","LPN experience differentials: Effective May 1, 2002 the following yearly experience rates shall become effective for in-"
2021-202_0194,healthcare,HARD,"Threshold mismatch: annotation=5.0, GPT=5000000",(b) If the Fund balance reaches a five million dollar ($5 million) level for League institutions the requirement to pay 
2021-202_0117,healthcare,HARD,"Threshold mismatch: annotation=3.0, GPT=0.6",2021-2024 1199-LEAGUE AGREEMENT 19 fifths (3/5) or more of the regular work week applicable to their job classification 
2021-202_0362,healthcare,HARD,"Threshold mismatch: annotation=3.0, GPT=0.75","2021-2024 1199-LEAGUE AGREEMENT 59 shall receive, during such time, a rate of pay equal to three-fourths (3/4) of their "
2021-202_0308,healthcare,HARD,"Threshold mismatch: annotation=2.0, GPT=-2","(d) Employees hired on and after October 1, 2021, but before October 1, 2022 shall receive, during the first year of emp"
2021-202_0118_p1,healthcare,SOFT,"Threshold mismatch: annotation=3.0, GPT=0.6",Part-time Employees who are regularly scheduled to work less than three fifths (3/
2021-202_0517_p3,healthcare,HARD,"Threshold mismatch: annotation=17.0, GPT=17625","i) Effective October 1, 2021, each Nursing Home Employer shall contribute the RCR which shall be a monthly Flat Rate as "
IL-MENTO_0111,healthcare,HARD,"Threshold mismatch: annotation=1.0, GPT=7",Employees must return their selection forms to their program supervisors no later than one week from distribution of the
KAISER_C_0906,healthcare,HARD,"Threshold mismatch: annotation=1.0, GPT=5",(10) The licensed nurse-to-patient ratio in a telemetry unit shall be 1:5 or fewer at all times.
KAISER_C_0904,healthcare,HARD,"Threshold mismatch: annotation=1.0, GPT=4",(9) The licensed nurse-to-patient ratio in a step-down unit shall be 1:4 or fewer at all times.
KAISER_C_0905,healthcare,HARD,"Threshold mismatch: annotation=1.0, GPT=3","Commencing January 1, 2008, the licensed nurse-to-patient ratio in a step-down unit shall be 1:3 or fewer at all times."
KAISER_C_0908,healthcare,HARD,"Threshold mismatch: annotation=1.0, GPT=6",(11) The licensed nurse-to-patient ratio in medical/surgical care units shall be 1:6 or fewer at all times.
KAISER_C_0912,healthcare,HARD,"Threshold mismatch: annotation=1.0, GPT=5",(12) The licensed nurse-to-patient ratio in a specialty care unit shall be 1:5 or fewer at all times.
KAISER_C_0913,healthcare,HARD,"Threshold mismatch: annotation=1.0, GPT=4","Commencing January 1, 2008, the licensed nurse-topatient ratio in a specialty care unit shall be 1:4 or fewer at all tim"
KAISER_C_0914,healthcare,HARD,"Threshold mismatch: annotation=1.0, GPT=6",(13) The licensed nurse-to-patient ratio in a psychiatric unit shall be 1:6 or fewer at all times.
KAISER_C_0892,healthcare,HARD,"Threshold mismatch: annotation=1.0, GPT=4","(8) In a hospital providing basic emergency medical services or comprehensive emergency medical services, the licensed n"
KAISER_C_0890,healthcare,HARD,"Threshold mismatch: annotation=1.0, GPT=4",(6) The licensed nurse-to-patient ratio in a pediatric service unit shall be 1:4 or fewer at all times.
KAISER_C_0884,healthcare,HARD,"Threshold mismatch: annotation=1.0, GPT=4","When a licensed nurse is caring for antepartum patients who are not in active labor, the licensed nurse-to-patient ratio"
KAISER_C_0885,healthcare,HARD,"Threshold mismatch: annotation=1.0, GPT=4",(4) The licensed nurse-to-patient ratio in a postpartum area of the perinatal service shall be 1:4 mother-baby couplets 
KAISER_C_0887,healthcare,HARD,"Threshold mismatch: annotation=1.0, GPT=6","For postpartum areas in which the licensed nurse’s assignment consists of mothers only, the licensed nurse-topatient rat"
KAISER_C_0888,healthcare,HARD,"Threshold mismatch: annotation=1.0, GPT=3",(5) The licensed nurse-to-patient ratio in a combined Labor/Delivery/ Postpartum area of the perinatal service shall be 
KAISER_C_0250,healthcare,HARD,"Threshold mismatch: annotation=16.0, GPT=2",Service Line Education and System Quality Review by Classification System Liaison: Each Classification Liaison shall be 
KAISER_C_0085,healthcare,HARD,"Threshold mismatch: annotation=4.0, GPT=0.8","Such Nurses shall be compensated at four- fifths (4/5ths) of their regular weekly salary, and Article VII, Section G – W"
KAISER_C_1031_p1,healthcare,HARD,"Threshold mismatch: annotation=1000000.0, GPT=90","SIDE LETTER N Letter of Intent: RN/NP Workplace Safety Project Process The Parties, in good faith and in order to reach "
KAISER_C_0907,healthcare,HARD,"Threshold mismatch: annotation=1.0, GPT=4","Commencing January 1, 2008, the licensed nurse-to-patient ratio in a telemetry unit shall be 1:4 or fewer at all times. "
MIAMI_DA_0024,healthcare,HARD,"Threshold mismatch: annotation=2.0, GPT=14","Section 6: Paycheck Error In the event of an error in the paycheck, a voucher in the corrected amount shall be made avai"
MIAMI_DA_0342,healthcare,HARD,"Threshold mismatch: annotation=1.0, GPT=7","Check-out: HSO officers shall not be required to turn in pagers, ID badges, uniforms, and the like more than one week in"
SEIU_119_0218,healthcare,HARD,"Threshold mismatch: annotation=9.2, GPT=80",ARTICLE 10 - VACATION ALLOWANCE 10.01 Rate of Accrual Permanent full-time employees shall be granted vacation leave with
SEIU_119_0259,healthcare,HARD,"Threshold mismatch: annotation=80.0, GPT=2.77","D. “Immediate family” is defined as spouse, domestic partner, child, step-child, grandchild, parents, stepparents, mothe"
SEIU_119_0966,healthcare,HARD,GPT extraction failed — used fallback,Physician Specialists shall be paid in accordance with the following P2 schedule: P2 - Physician Specialists Annual Sala
SEIU_119_1430,healthcare,HARD,"Threshold mismatch: annotation=10.0, GPT=15","or did not report to duty, dependent on the direction upon calling in) after being to do so. 8) The clinician assigned t"
SEIU_119_0216,healthcare,SOFT,"Threshold mismatch: annotation=2.0, GPT=14","(2) weeks or longer, an employee’s trial or probationary period may be extended for the duration of the absence."
SEIU_503_0413,healthcare,HARD,Annotation has threshold '120' but GPT returned none,No confidential business information shall be disclosed to Union at any time unless the Union agrees to suitable arrange
SEIU_503_0090,healthcare,HARD,"Threshold mismatch: annotation=3.0, GPT=12",This bulletin board shall be no smaller than three feet by four feet (3’ x 4’).
SEIU_775_0297,healthcare,HARD,"Threshold mismatch: annotation=2.0, GPT=14",Such election must be submitted in writing at least 2 weeks to receiving payment.
SEIU_HCP_0919,healthcare,SOFT,Annotation has threshold '60 days' but GPT returned none,"If an employee/supervisor is unable to participate in the scheduled training, the Institution/Boot Camp Coordinator shou"
