sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
SPIRIT_A_0460,Spirit_Airlines_Pilots_2023,79,"A pilot shall not remain on duty for more than 12 hours from the time he reports for work (including reasonable travel from home or domicile, whichever is shorter) until the end of the scheduled simulator training unless offered by the Company and agreed to by the pilot. b.",HARD,deontic:prohibition|deontic:obligation|threshold|exception,4,Yes,HARD,"Company, pilot",max_hours=12,unless offered by the Company and agreed to by the pilot,"auto-openai:The sentence establishes a mandatory limit on duty hours for pilots, with specific conditions for exceptions."
SPIRIT_A_0111,Spirit_Airlines_Pilots_2023,30,Conferences shall begin within 15 days after request has been made for such conferences unless otherwise mutually agreed upon between the Company and the Association.,HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"Company, Association",max_days=15,unless otherwise mutually agreed upon,"auto-openai:The sentence establishes a mandatory timeline for conferences, indicating a hard constraint with a specific threshold and an exception for mutual agreement."
SPIRIT_A_0590,Spirit_Airlines_Pilots_2023,95,"A pilot on nonpay status shall retain but not accrue sick leave credit after the first 30 days of such period of absence, unless otherwise provided in this Agreement. 3.",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"pilot, union, authority",,unless otherwise provided in this Agreement,"auto-openai:The sentence establishes a mandatory condition regarding sick leave credit retention for pilots on nonpay status, with a specific exception clause."
SPIRIT_A_0199,Spirit_Airlines_Pilots_2023,40,"The dispute shall be heard expeditiously no later than 20 days following the submission to the System Board and decided expeditiously no later than 40 days after submission, unless the parties agree otherwise in writing.",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"System Board, parties","max_days_hearing=20, max_days_decision=40",unless the parties agree otherwise in writing,"auto-openai:The sentence imposes mandatory time limits for the hearing and decision of disputes, qualifying it as a hard constraint."
SPIRIT_A_0313,Spirit_Airlines_Pilots_2023,54,"A pilot who is furloughed, retires, dies, goes on a leave of absence anticipated to be more than six months, resigns with 14 days’ notice (unless verifiable circumstances prevent such notice), or is terminated shall receive pay for all vacation accrued up to the time of such event, including prorated monthly accrual at the rate of 1/12th of the pilot’s annual accrual, at the hourly rate applicable at the time of such event.",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"pilot, operator",1/12th of the pilot’s annual accrual,unless verifiable circumstances prevent such notice,"auto-openai:The sentence establishes a mandatory requirement for payment of accrued vacation under specific conditions, using 'shall' which indicates a hard constraint."
SPIRIT_A_0353,Spirit_Airlines_Pilots_2023,61,Conferences shall begin within 15 days after the request has been made for such conferences unless otherwise mutually agreed upon between the Company and the Association.,HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"Company, Association",max_days=15,unless otherwise mutually agreed upon,"auto-openai:The sentence establishes a mandatory timeline for conferences to begin, indicating a hard constraint with a specific threshold and an exception for mutual agreement."
SPIRIT_A_0609,Spirit_Airlines_Pilots_2023,97,"Upon medical retirement, a pilot shall be paid for his accumulated sick leave at 100 percent of his hourly rate of pay, subject to bank credit limitations (700 hours). 3.",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,pilot,max_hours=700,,"auto-openai:The sentence establishes a mandatory payment condition for pilots upon medical retirement, specifying a maximum limit on accumulated sick leave hours."
SPIRIT_A_0610,Spirit_Airlines_Pilots_2023,97,"A pilot who retires at the mandatory retirement age with 25 years of service shall be paid for his accumulated sick leave at 100 percent of his hourly rate of pay, subject to bank credit limitations (700 hours). 4.",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"pilot, authority, union",max_hours=700,,"auto-openai:The sentence establishes a mandatory payment condition for retirement with specific terms, indicating a legally binding obligation."
SPIRIT_A_0611,Spirit_Airlines_Pilots_2023,97,"A pilot who retires at the mandatory retirement age shall be paid for his accumulated sick leave at 75 percent of his hourly rate of pay, subject to bank credit limitations (700 hours). 5.",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"pilot, authority",max_hours=700,,"auto-openai:The sentence establishes a mandatory payment condition for pilots upon retirement, which is legally binding and specifies a percentage and a limit on accumulated sick leave."
SPIRIT_A_0740,Spirit_Airlines_Pilots_2023,117,"An arbitrator shall be considered unavailable if he is not able to schedule a hearing within 120 days, unless the parties mutually agree otherwise. 3.",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"arbitrator, parties",120 days,unless the parties mutually agree otherwise,"auto-openai:The sentence establishes a mandatory timeframe for an arbitrator's availability, making it a hard constraint with a specific threshold and an exception clause."
