sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
CTU_ACER_0609,CTU_Acero_2022_2026,77,"Nor shall the Employer otherwise release to any third parties, other than the Union, any information pertaining to immigration status except with the bargaining unit member’s written consent or as required by law.",HARD,deontic:obligation|exception,3,,,,,,
CTU_ACER_0115,CTU_Acero_2022_2026,22,"Instructional Staff The employment of Instructional Staff in their first 365 days of employment in a single job category with the Employer shall be provisional, which means that, during this period, they may be released from employment without cause and in the sole discretion of the Employer, and they may not contest their discharge through the grievance and arbitration procedure.",HARD,deontic:obligation|deontic:restriction|deontic:permission|threshold,3,,,,,,
CTU_ACER_0519,CTU_Acero_2022_2026,66,"Except where otherwise provided, Academic Interventionists shall be provided the same workday and work year under Article 17.A. c.",HARD,deontic:obligation|exception,3,,,,,,
CTU_ACER_0516,CTU_Acero_2022_2026,66,"Except in cases of emergency, English Language Program Teachers shall not be assigned as substitute teachers. f.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
CTU_ACER_0670,CTU_Acero_2022_2026,85,"The bargaining unit member shall not be observed for evaluation purposes for 30 days and the Employer shall address any professional development, instructional materials or other needs created by the reassignment or transfer.",HARD,deontic:prohibition|deontic:obligation|threshold,3,,,,,,
CTU_ACER_0513,CTU_Acero_2022_2026,66,"Except where otherwise provided, English Language Program Teachers shall be provided the same workday and work year under Article 17.A. c.",HARD,deontic:obligation|exception,3,,,,,,
CTU_ACER_0675,CTU_Acero_2022_2026,86,"(7) calendar days from the date notice of the vacancy was made available to bargaining unit members, unless the vacant position is determined by the Employer to be a hard-to-fill position or a position that is required to be filled sooner in order to meet the instructional needs of students.",HARD,deontic:obligation|exception,3,,,,,,
CTU_ACER_0310,CTU_Acero_2022_2026,44,"Unless the bargaining unit member has been donated PTO in accordance with Paragraph G, any day a member is absent in excess of their PTO allotment shall be unpaid and taking such a day without authorization may result in discipline.",HARD,deontic:obligation|deontic:permission|exception,3,,,,,,
CTU_ACER_0311,CTU_Acero_2022_2026,44,"Except as otherwise provided herein, PTO shall be taken in four",HARD,deontic:obligation|exception,3,,,,,,
CTU_ACER_0686,CTU_Acero_2022_2026,90,"A court may substitute a lawful term or condition for any provision found to be unlawful, provided that any such substituted provision shall not deny the Parties the benefits arising to them under this Agreement.",HARD,deontic:prohibition|deontic:obligation|deontic:permission|exception,3,,,,,,
CTU_ACER_0688,CTU_Acero_2022_2026,90,"There shall be no reduction in benefits during the term of this Agreement without mutual agreement of the Parties, unless otherwise prohibited by law.",HARD,deontic:obligation|exception,3,,,,,,
CTU_ACER_0125,CTU_Acero_2022_2026,22,"Non-Instructional Staff The employment of Non-Instructional Staff in their first 90 days of employment with Employer shall be provisional, which means that, during this period, they may be released from employment without cause and in the sole discretion of the Employer, and they may not contest their discharge through the grievance and arbitration procedure.",HARD,deontic:obligation|deontic:restriction|deontic:permission|threshold,3,,,,,,
CTU_ACER_0502,CTU_Acero_2022_2026,65,"If a student has been referred to a campus-level administrator for discipline, students must first meet with a campus-level administrator before being further referred to a Counselor, provided that any campus-based administrator may refer a student to a Counselor in emergency circumstances requiring intervention other than disciplinary action. g.",HARD,deontic:obligation|deontic:permission|exception,3,,,,,,
CTU_ACER_0123,CTU_Acero_2022_2026,22,"In the event the Employer determines that it is appropriate to extend an employee’s provisional period for an additional 365 days, it shall provide the Instructional Staff member and the Union with a written explanation for that decision prior to expiration of the initial 365-day provisional period.",HARD,deontic:obligation|threshold,3,,,,,,
CTU_ACER_0122,CTU_Acero_2022_2026,22,The provisional period for Instructional Staff may be extended one-time for an additional 365 days at the discretion of the Employer.,SOFT,deontic:permission|threshold,3,,,,,,
CTU_ACER_0501,CTU_Acero_2022_2026,65,"No Counselor shall be used as a substitute teacher except in circumstances requiring temporary emergency supervisory, non-instructional, duty for the welfare of students or the safety of school operations. f.",HARD,deontic:obligation|exception,3,,,,,,
CTU_ACER_0327,CTU_Acero_2022_2026,45,"Emergency Unpaid Leave A bargaining unit member who has exhausted all PTO may request an unpaid emergency leave of up to ten (10) working days due to an unusual and unforeseeable event that legitimately requires the bargaining unit member to miss work, provided that the decision on whether to grant any additional unpaid time shall be in the sole discretion of Human Resources or Employer designee. 5.",HARD,deontic:obligation|deontic:permission|exception,3,,,,,,
CTU_ACER_0459,CTU_Acero_2022_2026,61,"Apprentices shall only be responsible for the creation of their own sub plans, which shall be provided to the Employer to distribute to a substitute in the event of an Apprentice’s absence.",HARD,deontic:obligation|exception,3,,,,,,
CTU_ACER_0700,CTU_Acero_2022_2026,92,The Employer may document bargaining unit member performance against the Danielson framework each week (unless otherwise stated below) using the Instructional Staff Coaching Framework.,SOFT,deontic:permission|exception,3,,,,,,
CTU_ACER_0702,CTU_Acero_2022_2026,92,Informal observations shall be no less than 15 minutes.,HARD,deontic:obligation|threshold,3,,,,,,
CTU_ACER_0493,CTU_Acero_2022_2026,65,"Counselors Except where otherwise provided in Section A and B of this Article, the following terms and conditions of work and rights shall apply to bargaining unit members assigned to the employee classification of “Counselor”: a.",HARD,deontic:obligation|exception,3,,,,,,
CTU_ACER_0487,CTU_Acero_2022_2026,64,"Except in cases of emergency, for LBS1 certified educators, Case Managers shall not be assigned as substitute teachers. h.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
CTU_ACER_0336,CTU_Acero_2022_2026,47,"Bereavement Leave Bargaining unit members shall be given up to ten (10) paid days of absence in case of a death in their immediate family, which includes a spouse, domestic partner, partner in a civil union, child, stepchild, parent, stepparent, foster parent, former guardian, sibling, step-sibling, halfsibling, or stillbirth.",HARD,deontic:obligation|exception,3,,,,,,
CTU_ACER_0339,CTU_Acero_2022_2026,47,"Bargaining unit members must provide the Employer with at least 48 hours’ advance notice of their request to take bereavement leave or, in the case of an emergency, as much advance notice as practicable.",HARD,deontic:obligation|threshold,3,,,,,,
CTU_ACER_0480,CTU_Acero_2022_2026,63,"Special Education Case Managers Except where otherwise provided herein, Case Managers shall be provided the same workday and work year as articulated in Article 17.A and 17.B.",HARD,deontic:obligation|exception,3,,,,,,
CTU_ACER_0347,CTU_Acero_2022_2026,48,"Those bargaining unit members eligible for FMLA leave may request up to 12 weeks off of work for an approved leave for purposes of preparation for child births, post-birth bonding or adoption within the first year of the event leading to the child being in the home.",SOFT,deontic:permission|threshold,3,,,,,,
