sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
1199SEIU_0361,1199SEIU_Columbia_Cafeteria_2022_2025,47,"This authorization may be revoked by a 30 day written notice sent to 1199SEIU Federal Credit Union, unless this authorization is executed as security for or as a manner or method of the repayment of a loan from the 1199SEIU Federal Credit Union doing business in New York and in such latter event the same shall be in full force and effect until the loan from the 1199SEIU Federal Credit Union has been paid in full.",HARD,deontic:obligation|deontic:permission|threshold|exception,4,Yes,SOFT,1199SEIU Federal Credit Union,,unless this authorization is executed as security for or as a manner or method of the repayment of a loan,"auto-openai:The sentence outlines a condition under which the authorization can be revoked, indicating a discretionary process rather than a mandatory one."
1199SEIU_0105,1199SEIU_Columbia_Cafeteria_2022_2025,15,"If he/she is removed from the new job during the probationary period he/she shall be returned to his/her former job or to an equivalent one without loss of seniority or other benefits, excepting that if he/she is discharged his/her rights shall be subject to Article 30 of this Agreement. 8.",HARD,deontic:obligation|exception,3,Yes,HARD,"employee, employer, union",,if he/she is discharged his/her rights shall be subject to Article 30 of this Agreement.,"auto-openai:The sentence establishes a mandatory return to a former or equivalent job without loss of benefits, indicating a hard constraint on the employer's obligations."
1199SEIU_0204,1199SEIU_Columbia_Cafeteria_2022_2025,24,"(1) or more years of employment with the University shall be entitled to a total of (per schedule above) additional days of sick leave as of the beginning of his/her second and each subsequent year of employment, provided that at no time will an Employee be entitled to accumulate more than sixty (60) working days of sick leave during any one year, including the days earned or to be earned in the current sick leave year. 21",HARD,deontic:obligation|exception,3,Yes,HARD,"University, Employee",max_sick_leave=60,provided that at no time will an Employee be entitled to accumulate more than sixty (60) working days of sick leave during any one year,"auto-openai:The sentence establishes a mandatory limit on the accumulation of sick leave, making it a hard constraint."
1199SEIU_0028,1199SEIU_Columbia_Cafeteria_2022_2025,8,Neither the Employer nor the Union shall discriminate against any Employee because of physical and/or mental disabilities except where such disabilities would directly prevent the accomplishment of the stated job duties. 3.,HARD,deontic:obligation|exception,3,Yes,HARD,"Employer, Union, Employee",,where such disabilities would directly prevent the accomplishment of the stated job duties,"auto-openai:The sentence establishes a mandatory non-discrimination policy with a specific exception, qualifying it as a hard constraint."
1199SEIU_0168,1199SEIU_Columbia_Cafeteria_2022_2025,21,"Notwithstanding the foregoing, Employees shall have preference in filling vacancies on another shift in the classification in which he/she is then working over new Employees. 3.",HARD,deontic:obligation|exception,3,Yes,HARD,"Employees, vacancies, shift, classification",,,"auto-openai:The sentence establishes a mandatory preference for employees in filling vacancies, indicating a hard constraint."
1199SEIU_0031,1199SEIU_Columbia_Cafeteria_2022_2025,8,"No Employee shall engage in any Union activity, including the distribution of literature, which could interfere with the performance of work during his/her working time or in working areas of the University at any time, except as provided in Article 31. 2.",HARD,deontic:obligation|deontic:prohibition|exception,3,Yes,HARD,"Employee, Union, University",,as provided in Article 31. 2,"auto-openai:The sentence imposes a mandatory restriction on employees regarding union activities during working time and in working areas, indicating a hard constraint."
1199SEIU_0344,1199SEIU_Columbia_Cafeteria_2022_2025,42,"In case of emergency, the Health and Safety Committee shall be convened within twentyfour (24) hours. 9.",HARD,deontic:obligation|exception,3,Yes,HARD,Health and Safety Committee,time_limit=24hours,,"auto-openai:The sentence mandates that the Health and Safety Committee must be convened within a specific timeframe in case of an emergency, indicating a legally binding requirement."
1199SEIU_0216,1199SEIU_Columbia_Cafeteria_2022_2025,25,"Effective January 1, 1977, the sick leave schedule for newly hired employees only will be as follows: LENGTH OF SERVICE NUMBER OF DAYS After 6 months but less than one year 5 days After 1 year but less than 2 years 12 days After 2 years but less than 9 years 15 days After 9 years 20 days Employees shall be entitled to accumulate up to sixty (60) working days of sick leave 22",HARD,deontic:obligation|threshold,3,Yes,HARD,employees,max_sick_leave=60days,,"auto-openai:The sentence establishes a mandatory sick leave schedule for newly hired employees, specifying the number of days based on length of service, which is legally binding."
1199SEIU_0257,1199SEIU_Columbia_Cafeteria_2022_2025,31,"Eligible Courses The spouse and children of a bargaining unit Employee shall be entitled to apply the Employee's unused portion of credit to any course, graduate or undergraduate, subject to the following modifications:",HARD,deontic:obligation|exception,3,Yes,SOFT,"bargaining unit Employee, spouse, children",,subject to the following modifications,"auto-openai:The sentence indicates that the spouse and children may apply the Employee's unused credit to courses, which is discretionary and subject to modifications."
1199SEIU_0081,1199SEIU_Columbia_Cafeteria_2022_2025,13,"(8) week probationary period, during which he/she may be removed from the position and shall be laid off if his/her performance is not satisfactory in the opinion of Management, but such action will be subject to Article 32 of this Agreement (Grievance Procedure).",HARD,deontic:obligation|deontic:permission|exception,3,Yes,SOFT,Management,,subject to Article 32 of this Agreement (Grievance Procedure),"auto-openai:The sentence describes a probationary period where removal is at the discretion of Management based on performance, indicating a soft constraint."
1199SEIU_0256,1199SEIU_Columbia_Cafeteria_2022_2025,31,"Tuition Exemption Limits The spouse and children of any full-time bargaining unit Employee shall be entitled to utilize any unused portion of credit to which the member is entitled under Article 22, Section I of the collective bargaining agreement, except that there shall be no accrual of any unused portion of credit. 3.",HARD,deontic:obligation|exception,3,Yes,HARD,"employee, spouse, children",,there shall be no accrual of any unused portion of credit,"auto-openai:The sentence establishes a mandatory condition regarding tuition exemption limits for family members of employees, indicating no discretion in the accrual of credits."
