sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
NYC_UFT__0086,NYC_UFT_Teachers_MOA_2023,10,"CSE)  Supervisors of Nurses and Therapists  Administrative Education Officers & Administrative Education Analysts  Education Officers & Education Analysts  Associate Education Officers & Associate Education Analysts  School Counselors Assigned  Teachers Assigned Non-school based employees may work up to 2 days per week remotely with supervisory approval, subject to the following eligibility criteria.",SOFT,deontic:permission|threshold|exception,4,,,,,,
NYC_UFT__0001,NYC_UFT_Teachers_MOA_2023,1,"INTRODUCTION The collective bargaining agreements between the Board and the Union which expired on September 13, 2022, covering the titles and/or bargaining units set forth in paragraph 3, below, shall be succeeded by successor agreements that shall continue all their terms and conditions except as modified or amended below. 2.",HARD,deontic:obligation|exception,3,,,,,,
NYC_UFT__0035,NYC_UFT_Teachers_MOA_2023,5,"B(1)(a) of the Teachers’ CBA), except that on Tuesdays when school is in session paraprofessionals shall only be required to work a 70 35-minute block immediately following the conclusion of the school day.",HARD,deontic:obligation|exception,3,,,,,,
NYC_UFT__0047,NYC_UFT_Teachers_MOA_2023,7,(d) On Tuesday there shall be a 40-minute block (35 minutes for paraprofessionals) for Other Professional Work immediately preceding the start of the school day.,HARD,deontic:obligation|threshold,3,,,,,,
NYC_UFT__0049,NYC_UFT_Teachers_MOA_2023,7,(d) On Wednesday there shall be a 40-minute block (35 minutes for paraprofessionals) for Other Professional Work immediately following the end of the school day.,HARD,deontic:obligation|threshold,3,,,,,,
NYC_UFT__0051,NYC_UFT_Teachers_MOA_2023,7,"(c) On Mondays, immediately preceding the start of the school day, there shall be a 60minute Professional Development block and immediately following the end of the school day there shall be a 40-minute (35 for paraprofessionals) Other Professional Work block.",HARD,deontic:obligation|threshold,3,,,,,,
NYC_UFT__0057,NYC_UFT_Teachers_MOA_2023,8,(d) On Monday there shall be a 100-minute block. 60 minutes for Professional Development and 40 minutes (35 minutes for paraprofessionals) for Other Professional Work immediately following the end of the school day.,HARD,deontic:obligation|threshold,3,,,,,,
NYC_UFT__0059,NYC_UFT_Teachers_MOA_2023,8,(a) The school day shall be 6 hours and 20 minutes Monday through Friday.,HARD,deontic:obligation|threshold,3,,,,,,
NYC_UFT__0064,NYC_UFT_Teachers_MOA_2023,8,Pre-Approved Multi-Session (and other Schools using 6:50 minute School Day) School Based Options: 1) Faculty and Grade Conferences – Morning Blocks a) There are two afterschool conferences (a faculty conference and a grade conference) per month during the months of October through May.,SOFT,deontic:permission|threshold,3,,,,,,
NYC_UFT__0071,NYC_UFT_Teachers_MOA_2023,8,"(i) there shall be six 60-minute professional development block the first Monday of the month when schools are in session in October, December, February, March, April and May (or 6 other months specified in the SBO) and (ii) here shall be eight 35 minutes a month for parent engagement, in all months exclusive of November and March (or 8 months as specified in the SBO).",HARD,deontic:obligation|deontic:permission|threshold,3,,,,,,
