sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
32BJ_BOS_0150,32BJ_Boston_2022_2026,19,Said payment shall be due to the Employer by the Union within 30 days of the Union receiving notification of the amount due.,HARD,deontic:obligation|threshold,3,Yes,HARD,"Employer, Union",30 days,,"auto-openai:The sentence establishes a mandatory payment timeline that the Union must adhere to, indicating a legally binding obligation."
32BJ_BOS_0180,32BJ_Boston_2022_2026,21,"The Chief Steward shall have reasonable freedom to perform their duties during non-working time, provided that there shall be no interference of any type or manner with the conduct of the client’s business, Employer’s operation or the employee’s performance of work, and there is no objection by the Employer’s client.",HARD,deontic:obligation|exception,3,Yes,SOFT,"Chief Steward, Employer, client, employee",,"provided that there shall be no interference of any type or manner with the conduct of the client’s business, Employer’s operation or the employee’s performance of work, and there is no objection by the Employer’s client","auto-openai:The sentence provides discretionary freedom to the Chief Steward with conditions that must be met, indicating a soft constraint."
32BJ_BOS_0039,32BJ_Boston_2022_2026,8,"Except as provided in Article 5, seniority shall be broken by any of the following events: • Resignation, retirement or voluntary termination; • Discharge for just cause; • Voluntary promotion into a non-bargaining unit position, unless an employee returns to the bargaining unit within six",HARD,deontic:obligation|exception,3,Yes,HARD,"employee, union",,unless an employee returns to the bargaining unit within six,"auto-openai:The sentence establishes mandatory conditions under which seniority is broken, indicating a hard constraint with a specific exception."
32BJ_BOS_0127,32BJ_Boston_2022_2026,17,Employees may be entitled to up to 12 weeks (or 26 weeks under military care giver situations) of leave based upon meeting certain eligibility requirements and with proper submission of documented evidence of specific circumstances as set forth in the FMLA.,SOFT,deontic:permission|threshold,3,Yes,SOFT,"employees, FMLA","max_leave=12weeks, max_leave_military=26weeks",based upon meeting certain eligibility requirements and with proper submission of documented evidence,"auto-openai:The sentence outlines a potential entitlement to leave that is conditional on eligibility and documentation, indicating it is a soft constraint."
32BJ_BOS_0124,32BJ_Boston_2022_2026,17,Such days shall be requested in advance and shall be scheduled subject to Employer approval and in accordance with the Employer’s time off request policy.,HARD,deontic:obligation|exception,3,Yes,SOFT,"Employer, employee",,subject to Employer approval,"auto-openai:The sentence indicates that days off must be requested in advance and are subject to the Employer's approval, making it a discretionary constraint."
32BJ_BOS_0047,32BJ_Boston_2022_2026,9,"Summer Layoff Procedure for Higher Education Sites Employees working in Higher Education Institutions, who have no scheduled work hours due to the elimination of their regularly scheduled assignment during summer months, shall be considered displaced for lack of work during those months subject to the following provisions: The Employer will make reasonable efforts to offer temporary job assignments during the summer months to such displaced employees.",HARD,deontic:obligation|exception,3,Yes,SOFT,"Employer, Employees",,,"auto-openai:The sentence outlines the Employer's obligation to make reasonable efforts to offer temporary job assignments, which is discretionary and not legally mandatory."
32BJ_BOS_0235,32BJ_Boston_2022_2026,25,The Union and the Employer intend that the grievance and arbitration provisions in the Collective Bargaining Agreement shall be the exclusive method of resolving all disputes between the Employer and the Union and the employees covered by this agreement unless otherwise set forth or required under applicable law.,HARD,deontic:obligation|exception,3,Yes,HARD,"Union, Employer, employees",,unless otherwise set forth or required under applicable law,"auto-openai:The sentence establishes a mandatory process for dispute resolution, indicating that it is a hard constraint."
32BJ_BOS_0050,32BJ_Boston_2022_2026,9,"Upon notice from the employer of Employer’s intention to assign the employee to restored hours, the employee must immediately return to work as instructed, provided that an employee who returns within five days of receiving such instruction shall not be terminated or deemed to have resigned.",HARD,deontic:prohibition|deontic:obligation|deontic:obligation|exception,3,Yes,HARD,"employer, employee",max_days=5,,"auto-openai:The sentence imposes a mandatory requirement for the employee to return to work within a specified timeframe, which qualifies it as a hard constraint."
32BJ_BOS_0119,32BJ_Boston_2022_2026,17,Maximum sick time per year: Employees may carry over up to 40 hours of unused sick time but are not entitled to use more than 40 hours in one calendar year.,SOFT,deontic:permission|threshold,3,Yes,HARD,employees,max_hours=40,,"auto-openai:The sentence specifies a maximum limit on sick time usage that is mandatory for employees, indicating a hard constraint."
32BJ_BOS_0231,32BJ_Boston_2022_2026,25,"If the Employer misses a response deadline set forth in this Agreement, the Grievance shall automatically move to the next Step, provided that the Union has otherwise complied with this Article.",HARD,deontic:obligation|exception,3,Yes,HARD,"Employer, Union",,provided that the Union has otherwise complied with this Article,"auto-openai:The sentence establishes a mandatory procedure that must be followed if the Employer fails to meet a deadline, indicating a hard constraint."
