sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
SEIU_102_0969,SEIU_1021_SF_2022_2024,113,"Sick leave with pay credits shall be earned at the rate of .05 hours for each hour of regularly scheduled paid service excluding, 1) overtime exceeding 40 hours per week and 2) holiday pay, except that an employee on disability leave shall earn sick leave with pay credits at the normal rate.",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"employee, employer",sick_leave_rate=0.05_hours_per_hour,employee on disability leave shall earn sick leave with pay credits at the normal rate,"auto-openai:The sentence establishes a mandatory rate for earning sick leave credits, with a specific exception for employees on disability leave."
SEIU_102_1279,SEIU_1021_SF_2022_2024,183,"The Airport will annually require at least 25% of the covered employees to undergo drug testing, except that the Airport Director may revise the testing rate after reviewing data concerning the rate of positive tests in the previous calendar year.",SOFT,deontic:permission|threshold|exception,4,Yes,SOFT,"Airport, employees",min_testing_rate=25%,the Airport Director may revise the testing rate after reviewing data concerning the rate of positive tests in the previous calendar year,"auto-openai:The sentence outlines a discretionary requirement for drug testing with a specified minimum percentage, allowing for adjustments based on data review."
SEIU_102_0777,SEIU_1021_SF_2022_2024,93,"An employee subject to suspension or discharge, shall be entitled, prior to the imposition of that discipline or discharge, to a hearing and to the following: 639. a.",HARD,deontic:obligation|exception,3,Yes,HARD,"employee, union",,,"auto-openai:The sentence establishes a mandatory right for an employee to have a hearing before suspension or discharge, indicating a legally binding requirement."
SEIU_102_0678,SEIU_1021_SF_2022_2024,84,"Subject to the approval of the Appointing Officer, vacation periods and days off shall be scheduled by mutual agreement of the employee and the employee’s supervisor.",HARD,deontic:obligation|exception,3,Yes,SOFT,"employee, supervisor, Appointing Officer",,subject to the approval of the Appointing Officer,"auto-openai:The sentence indicates that scheduling is based on mutual agreement and requires approval, making it a discretionary constraint."
SEIU_102_0652,SEIU_1021_SF_2022_2024,81,An employee shall be released from work to attend the seminar unless staffing requirements or other Departmental operational necessities require the employee's attendance at work on the day such seminar is scheduled.,HARD,deontic:obligation|exception,3,Yes,SOFT,"employee, Department",,unless staffing requirements or other Departmental operational necessities require the employee's attendance at work,"auto-openai:The sentence provides a discretionary condition under which an employee may be released from work, indicating it is a soft constraint."
SEIU_102_0650,SEIU_1021_SF_2022_2024,81,"Subject to development, availability and scheduling by SFERS and PERS, employees shall be allowed not more than one",HARD,deontic:obligation|exception,3,Yes,SOFT,"employees, SFERS, PERS",,"subject to development, availability and scheduling by SFERS and PERS","auto-openai:The sentence indicates a discretionary allowance for employees that is contingent upon external factors, classifying it as a soft constraint."
SEIU_102_0648,SEIU_1021_SF_2022_2024,80,Initial monthly retirement Initial payment shall begin within sixty (60) allowance. days after the first of the month following the date of retirement provided that the appropriate forms of the Retirement System have been submitted. 532.,HARD,deontic:obligation|exception,3,Yes,HARD,"retirement system, employee",60,provided that the appropriate forms of the Retirement System have been submitted,"auto-openai:The sentence specifies a mandatory timeline for retirement payments, making it a hard constraint with a numeric threshold and a conditional clause."
SEIU_102_0647,SEIU_1021_SF_2022_2024,80,"The Retirement Board shall process and pay retirement claims, except in cases beyond the Board's control, in the following manner: BENEFIT PROCESSING TIME 531.",HARD,deontic:obligation|exception,3,Yes,HARD,Retirement Board,empty string,in cases beyond the Board's control,"auto-openai:The sentence establishes a mandatory process for the Retirement Board to follow, indicating a legally binding obligation with a specific exception."
SEIU_102_0642,SEIU_1021_SF_2022_2024,80,This reopener shall be subject to the impasse resolution procedures and criteria set forth in Charter Section A8.409-4. 2.,HARD,deontic:obligation|exception,3,Yes,HARD,"operator, authority, union",,,"auto-openai:The sentence establishes a mandatory procedure for resolving impasses, indicating a legally binding requirement."
SEIU_102_0641,SEIU_1021_SF_2022_2024,80,"Notwithstanding the above paragraphs, in the event that a change in state law causes the implementation, during the term of this Agreement, of an increase in the employee contribution to CalPERS for employees covered by this Agreement, either party may elect to reopen this Agreement to address the impact of the change in state law.",SOFT,deontic:permission|exception,3,Yes,SOFT,"party, employee, CalPERS",,in the event that a change in state law,"auto-openai:The sentence allows either party to reopen the agreement based on a change in state law, indicating a discretionary action rather than a mandatory requirement."
SEIU_102_0632,SEIU_1021_SF_2022_2024,77,"The City shall provide to employees with six months continuous service a Long Term Disability (LTD) plan that provides, after a one hundred eighty (180) day elimination period, sixty percent (60%) salary (subject to integration) up to age sixty-five.",HARD,deontic:obligation|exception,3,Yes,HARD,"City, employees","elimination_period=180days, salary_percentage=60%",,"auto-openai:The sentence establishes a mandatory requirement for the City to provide a Long Term Disability plan to employees with a specified duration of service, making it a hard constraint."
SEIU_102_0628,SEIU_1021_SF_2022_2024,77,"Notwithstanding paragraph 517, employees who enroll in the Delta Dental PPO Plan shall pay the following premiums for the respective coverage levels: $5/month for employee-only, $10/month for employee + 1 dependent, or $15/month for employee + 2 or more dependents. 515.",HARD,deontic:obligation|exception,3,Yes,HARD,"employees, Delta Dental PPO Plan","employee_only_premium=5, employee_plus_1_dependent_premium=10, employee_plus_2_or_more_dependents_premium=15",,"auto-openai:The sentence specifies mandatory premium payments for different coverage levels, indicating a legally binding obligation."
SEIU_102_0623,SEIU_1021_SF_2022_2024,76,"The City and SEIU Local 1021 shall, no later than 120 days following the execution of this agreement, form and jointly petition HSS to participate in a joint labor-management committee to do the following, including but not limited to: 511.",HARD,deontic:obligation|threshold,3,Yes,HARD,"City, SEIU Local 1021, HSS",120 days,,"auto-openai:The sentence imposes a mandatory requirement for the City and SEIU Local 1021 to form and petition within a specified timeframe, indicating a legally binding obligation."
