sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
UNITE_HE_0368,UNITE_HERE_Local17_Millennium_Minneapolis,47,"Laundry *In the event of a layoff in these cook classifications, the laid-off employee(s) shall have the opportunity to exercise his/her established seniority to bid into a lesser skilled classification at the hourly pay rate of the new classification. **This classification shall be limited to twenty (20%) percent of the cooks in the establishment; rounded up. 41 457379.2",HARD,deontic:obligation|exception,3,Yes,HARD,"employee, union",max_classification_percentage=20,,"auto-openai:The sentence imposes a mandatory limit on the number of cooks in a lesser skilled classification, which is a legally binding constraint."
UNITE_HE_0229,UNITE_HERE_Local17_Millennium_Minneapolis,26,"If an employee fails to return from their Family and Medical Leave, except for a continuation, reoccurrence or onset of a serious health condition, or something else beyond the employee’s control, the Employer may recover all of the health care coverage premiums paid during the Leave. 12.4 Maternity Leave.",SOFT,deontic:permission|exception,3,Yes,SOFT,"employer, employee",,"except for a continuation, reoccurrence or onset of a serious health condition, or something else beyond the employee’s control","auto-openai:The sentence outlines a condition under which the employer may recover health care premiums, indicating discretion in enforcement."
UNITE_HE_0240,UNITE_HERE_Local17_Millennium_Minneapolis,27,"Provided, however, such jury duty pay shall be subject to the following conditions:",HARD,deontic:obligation|exception,3,Yes,SOFT,union,,subject to the following conditions,"auto-openai:The phrase indicates that jury duty pay is conditional, making it a discretionary constraint."
UNITE_HE_0171,UNITE_HERE_Local17_Millennium_Minneapolis,22,"If the grievance cannot be satisfactorily settled by the above steps of the grievance procedure, either of the Parties may request Arbitration by giving the other Party written notice of its desire to arbitrate within fourteen (14) calendar days after the Employer or the Union has made its final written answer as provided in Step 3 (unless the Employer and the Union mutually agree in writing to extend the time limit), in which event the grievance shall be arbitrated according to the following procedure: 16 457379.2",HARD,deontic:obligation|deontic:permission|exception,3,Yes,HARD,"Employer, Union",time_limit=14 days,unless the Employer and the Union mutually agree in writing to extend the time limit,"auto-openai:The sentence establishes a mandatory timeframe for requesting arbitration, which is legally binding unless both parties agree to extend it."
UNITE_HE_0052,UNITE_HERE_Local17_Millennium_Minneapolis,13,"When the Employer establishes a new job classification or a combination of two or more job classifications within the scope of this Agreement, the Union shall be notified and the rate of pay for the new job classification or combination of job classifications shall be subject to negotiation with the Union.",HARD,deontic:obligation|exception,3,Yes,SOFT,"Employer, Union",,,"auto-openai:The sentence indicates that the rate of pay for new job classifications is subject to negotiation, which implies discretion and does not impose a mandatory requirement."
UNITE_HE_0252,UNITE_HERE_Local17_Millennium_Minneapolis,28,"Failure to return to work promptly at the end of an authorized leave of absence, unless due to an act of God, shall result in complete loss of seniority rights.",HARD,deontic:obligation|exception,3,Yes,HARD,"operator, union",,unless due to an act of God,"auto-openai:The sentence imposes a mandatory consequence for failing to return to work, indicating a hard constraint with a specified exception."
UNITE_HE_0225,UNITE_HERE_Local17_Millennium_Minneapolis,26,"Employees must first use any earned vacation days, except for one",HARD,deontic:obligation|exception,3,Yes,HARD,employees,,except for one,"auto-openai:The sentence imposes a mandatory requirement for employees to use earned vacation days first, indicating a hard constraint with a specific exception."
UNITE_HE_0213,UNITE_HERE_Local17_Millennium_Minneapolis,25,"During a leave of absence, the employee shall not engage in gainful employment unless the leave is the result of the employee being hired for a position of full-time service with the Union.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"employee, union",,unless the leave is the result of the employee being hired for a position of full-time service with the Union,"auto-openai:The sentence imposes a mandatory restriction on the employee's ability to engage in gainful employment during a leave of absence, with a specific exception provided."
UNITE_HE_0048,UNITE_HERE_Local17_Millennium_Minneapolis,12,"Only the fact as to whether or not an employee is engaged in a violation of this Article may be subject to the grievance and arbitration provisions of this Agreement, and the Arbitrator shall have no authority to alter the discipline issued by the Employer. 5.3 Jurisdictional Dispute.",HARD,deontic:obligation|deontic:permission|exception,3,Yes,HARD,"employee, employer, arbitrator",,,"auto-openai:The sentence establishes a mandatory limitation on the arbitrator's authority regarding disciplinary actions, indicating a hard constraint."
UNITE_HE_0309,UNITE_HERE_Local17_Millennium_Minneapolis,34,Regular banquet waitpersons and bartenders holiday pay shall be calculated by totaling previous yearly hours as of January 1 of each year and dividing by 52 weeks then dividing by 5 workdays.,HARD,deontic:obligation|threshold,3,Yes,HARD,union,empty string,empty string,"auto-openai:The sentence specifies a mandatory calculation method for holiday pay, indicating a legally binding requirement."
UNITE_HE_0081,UNITE_HERE_Local17_Millennium_Minneapolis,15,"Employees shall not be required to work overtime unless, in the Employer’s opinion, it is a business necessity, in which case such overtime shall be worked based on seniority (volunteers based on highest seniority, required based on lowest seniority) of those employees performing the work on the shift for which overtime is required. 8.5 Overtime Pay.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"employees, employer",,"unless, in the Employer’s opinion, it is a business necessity","auto-openai:The sentence establishes a mandatory requirement for overtime work based on the employer's determination of business necessity, making it a hard constraint."
UNITE_HE_0294,UNITE_HERE_Local17_Millennium_Minneapolis,32,"Once a request for vacation has been approved by the Employer, the vacation dates shall not be changed unless by mutual consent of the Employer and the employee. 15.5 Terminated Employees.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"Employer, employee",,unless by mutual consent of the Employer and the employee,"auto-openai:The sentence establishes a mandatory rule regarding the change of vacation dates, indicating that once approved, changes can only occur with mutual consent, which qualifies it as a hard constraint."
UNITE_HE_0047,UNITE_HERE_Local17_Millennium_Minneapolis,12,"However, an issue of fact as to whether or not any particular employee has engaged in, participated in, or encouraged any such violation may be subject to arbitration.",SOFT,deontic:permission|exception,3,Yes,SOFT,"employee, union",,,"auto-openai:The sentence indicates that the determination of an employee's involvement in a violation may be subject to arbitration, which implies discretion and negotiation rather than a mandatory rule."
UNITE_HE_0036,UNITE_HERE_Local17_Millennium_Minneapolis,11,"The Employer and the Union specifically agree that management shall have the right to direct the work force and to determine the policies and methods of operating its Hotel, except as expressly limited by the specific provisions of this Agreement and longstanding custom and past practice.",HARD,deontic:obligation|exception,3,Yes,SOFT,"Employer, Union",,except as expressly limited by the specific provisions of this Agreement and longstanding custom and past practice,"auto-openai:The sentence outlines the rights of management to direct the workforce while allowing for exceptions based on the agreement and past practices, indicating a discretionary nature."
UNITE_HE_0037,UNITE_HERE_Local17_Millennium_Minneapolis,11,"Such management rights and responsibilities shall include, but not be limited to, the following: the right to select the employees it will hire; the right to establish or revise work schedules; to determine the size and composition of its working force; to determine the number and type of equipment, material, products and supplies to be used or operated; to discipline or discharge employees for just cause; to maintain efficiency of employees; to determine assignments of work; to discontinue all or any part of its business operations; to expand, reduce, alter, combine or transfer, assign, or cease any job, department or operation for business purposes; to introduce new, different or improved methods and procedures in its operations, and to otherwise generally manage the Hotel, except as expressly restricted by the provisions of this Agreement.",HARD,deontic:obligation|exception,3,Yes,HARD,"management, employees",,,"auto-openai:The sentence outlines management rights and responsibilities that are mandatory and not subject to discretion, indicating a hard constraint."
UNITE_HE_0044,UNITE_HERE_Local17_Millennium_Minneapolis,12,"(b) The Union shall promptly order its members to return to work, notwithstanding the existence of a picket line, if requested to do so by the Employer.",HARD,deontic:obligation|exception,3,Yes,HARD,"union, employer",,,"auto-openai:The sentence imposes a mandatory obligation on the Union to order its members to return to work if requested by the Employer, indicating a hard constraint."
UNITE_HE_0041,UNITE_HERE_Local17_Millennium_Minneapolis,12,Participation by any employee in any such practices is prohibited by this Section shall be considered just and reasonable cause for discharge or other disciplinary action by the Employer; and subject to the Grievance and Arbitration Procedure in Article 10. 5.2 Unauthorized Action.,HARD,deontic:obligation|exception,3,Yes,HARD,"employee, employer",,subject to the Grievance and Arbitration Procedure in Article 10,"auto-openai:The sentence establishes a mandatory prohibition on employee participation in certain practices, which can lead to discharge or disciplinary action, indicating a hard constraint."
UNITE_HE_0075,UNITE_HERE_Local17_Millennium_Minneapolis,15,"It shall not be construed as a guarantee of minimum or maximum hours of work per day or per week, or of the number of days of work per week, or of working schedules, however, this section is subject to Article 9 on Seniority. 8.2 Standard Workweek.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,SOFT,"operator, authority, union",,subject to Article 9 on Seniority,"auto-openai:The sentence indicates that there are no guarantees regarding work hours or schedules, which suggests a discretionary nature, thus classifying it as a soft constraint."
