sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
32BJ_BOL_0001,32BJ_BOLR_Suburban_2023,4,"This Agreement shall apply to all service employees employed in any facility, in Delaware, Chester, Bucks, and Montgomery Counties in Pennsylvania, excluding commercial office buildings under 100,000 square feet, except that economic terms and conditions for residential buildings, hospitals, department stores, schools, charitable, educational and religious institutions, race tracks, nursing homes, theaters, hotels, shopping malls, golf courses, bowling alleys, warehouses, route work, bank branches, entertainment venues (concert halls, playhouses, or other venues of more than 50,000 square feet having live stage performances), and industrial facilities shall be set forth in riders negotiated for each location covered by this Agreement.",HARD,deontic:obligation|exception,3,,,,,,
32BJ_BOL_0134,32BJ_BOLR_Suburban_2023,15,"There shall be no lockouts, and no strikes except that the Union may call a strike or work stoppage",HARD,deontic:obligation|deontic:permission|exception,3,,,,,,
32BJ_BOL_0338,32BJ_BOLR_Suburban_2023,33,"Any of the rights, power or authority the Employer had prior to the signing of this Agreement, are retained by the Employer except those specifically abridged or modified by this Agreement and any supplemental agreements that may hereafter be made. 30.3.",SOFT,deontic:permission|exception,3,,,,,,
32BJ_BOL_0038,32BJ_BOLR_Suburban_2023,7,"The Union, therefore, may use electronic records to verify Union membership, authorization for voluntary deduction of Union dues and fees from wages for remittance to the Union, and authorization for voluntary deductions from wages for remittance to ADF Funds, subject to the 4 SL1 1965866v4 030060.00031",SOFT,deontic:permission|exception,3,,,,,,
32BJ_BOL_0040,32BJ_BOLR_Suburban_2023,8,"If the Employer fails to deduct or remit to the Union the dues, ADF contributions, contributions to the Building Service 32BJ Health Fund, contributions to the SEIU Local 32BJ Building Operators Legal Services Fund, or other monies in accordance with this section by the 20th day of the month, the Employer shall pay interest on such dues, initiation fees, or contributions at the rate of one percent per month beginning on the 21st day, unless the Employer can demonstrate the delay was for good cause due to circumstances beyond its control. 2.7.",HARD,deontic:obligation|exception,3,,,,,,
32BJ_BOL_0165,32BJ_BOLR_Suburban_2023,17,"Commencing with an employee’s twelfth month of employment, all employees shall receive a minimum of four paid personal days per calendar year except in an employee’s first year of employment when he/she shall be entitled to a prorated number of personal days for the time between the first day of his /her sixth month of employment to the end of the calendar 14 SL1 1965866v4 030060.00031",HARD,deontic:obligation|exception,3,,,,,,
32BJ_BOL_0327,32BJ_BOLR_Suburban_2023,32,"(k) Supplemental employees may not be utilized to fill a permanent vacancy except for a reasonable period, which shall not exceed fifteen (15) days, or thirty (30) days where the vacancy is filled through external hire, after which a permanent employee shall fill the vacancy.",HARD,deontic:prohibition|deontic:obligation|deontic:restriction|deontic:permission|exception,3,,,,,,
32BJ_BOL_0223,32BJ_BOLR_Suburban_2023,23,"In order to be eligible for holiday pay, an employee must work all of his/her scheduled hours on the workday before and after the holiday unless he/she is on approved vacation or approved paid or unpaid leave.",HARD,deontic:obligation|exception,3,,,,,,
32BJ_BOL_0145,32BJ_BOLR_Suburban_2023,16,Employees shall accrue vacation with pay in accordance with the following schedule: Months on Payroll Vacation with Pay 1 Year 1 Week 2 Years 2 Weeks 5 Years 3 Weeks 15 Years 4 Weeks 25 Years 5 Weeks An employee may take vacation according to the foregoing schedule (earned as of the preceding January 1) only after completing one,HARD,deontic:obligation|deontic:permission|threshold,3,,,,,,
32BJ_BOL_0143,32BJ_BOLR_Suburban_2023,16,"Employers shall provide employees with leaves of absence for union related activities, where practicable, provided that such leave shall not be unreasonably denied.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
32BJ_BOL_0141,32BJ_BOLR_Suburban_2023,15,"No employee shall be entitled to a personal leave of absence more than once in a twelve (12) month period, unless otherwise required by law.",HARD,deontic:obligation|deontic:prohibition|exception,3,,,,,,
32BJ_BOL_0140,32BJ_BOLR_Suburban_2023,15,"Leave may be requested on an emergency basis, provided that as soon as practical after the Employer’s request, the employee shall provide documentation of the emergency.",HARD,deontic:obligation|deontic:permission|exception,3,,,,,,
