sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
CARPENTE_0001,Carpenters_SanDiego_MLA_2022_2026,5,"This Agreement shall become effective on July 1, 2022 and shall remain in full force and effect through July 1, 2026, and from year to year thereafter, unless either party has given at least sixty (60) but not more than ninety (90) days written notice to the other party prior to June 30, 2026 of their intention to amend, modify or terminate.",HARD,deontic:obligation|exception,3,Yes,HARD,"operator, union",notice_period=60-90days,unless either party has given at least sixty (60) but not more than ninety (90) days written notice,"auto-openai:The sentence establishes a mandatory notice period for amending or terminating the agreement, which is legally binding."
CARPENTE_0625,Carpenters_SanDiego_MLA_2022_2026,87,"No Statutory Dispute subject to this Appendix M shall be recognized unless called to the attention of and, in the event it is not resolved, confirmed in writing by the individual employee 87",HARD,deontic:obligation|exception,3,Yes,HARD,employee,,,"auto-openai:The sentence establishes a mandatory requirement for disputes to be recognized only if specific conditions are met, indicating a legally binding obligation."
CARPENTE_0201,Carpenters_SanDiego_MLA_2022_2026,30,"SECTION 24 HIRING In the employment of workmen for all work covered by this Agreement in the territory above described, the following provisions, subject to the conditions of Section 5 of this Agreement shall govern: A.",HARD,deontic:obligation|exception,3,Yes,HARD,"workmen, Agreement",,subject to the conditions of Section 5 of this Agreement,"auto-openai:The sentence establishes mandatory provisions for hiring workmen under the agreement, indicating a hard constraint with a specific exception."
CARPENTE_0199,Carpenters_SanDiego_MLA_2022_2026,30,No work shall be required on Labor Day except in cases of extreme urgency when life or property is in imminent danger.,HARD,deontic:obligation|exception,3,Yes,HARD,"operator, union",,in cases of extreme urgency when life or property is in imminent danger,"auto-openai:The sentence imposes a mandatory restriction on work on Labor Day with a specific exception for urgent situations, qualifying it as a hard constraint."
CARPENTE_0500,Carpenters_SanDiego_MLA_2022_2026,70,"(6) of your letter dated May 9, 1955, did you intend the false work necessary for the support of the deck of a concrete or steel bridge over water to carry the Carpenter classification, except while pile driving or power equipment is used for heavy timber false work? A: The answer is yes.",SOFT,deontic:permission|exception,3,No,NOT_CONSTRAINT,"operator, union",,,auto-openai:The sentence is a question and answer regarding a specific classification and does not impose any binding rules or constraints.
CARPENTE_0162,Carpenters_SanDiego_MLA_2022_2026,27,"All time worked or hours paid for Saturday (unless it is a make-up day), Sunday and holidays shall be paid for at the appropriate overtime rate.",HARD,deontic:obligation|exception,3,Yes,HARD,"operator, union",,unless it is a make-up day,"auto-openai:The sentence mandates that all time worked or hours paid on specified days must be compensated at the overtime rate, indicating a legally binding requirement."
CARPENTE_0159,Carpenters_SanDiego_MLA_2022_2026,27,"Any time worked from Friday midnight to Sunday midnight or on holidays, or in excess of the regular shift hours shall be paid for at the overtime rate, except as provided in Paragraph F of this Section.",HARD,deontic:obligation|exception,3,Yes,HARD,"operator, union",none,except as provided in Paragraph F of this Section,"auto-openai:The sentence establishes a mandatory requirement for overtime pay under specific conditions, indicating a hard constraint."
CARPENTE_0158,Carpenters_SanDiego_MLA_2022_2026,27,"(4) ten hour days to run consecutively, except for inclement weather, major breakdown or suspension of the project in which an additional ten hour day (Friday or Saturday) may be utilized to complete the forty hour week.",SOFT,deontic:permission|exception,3,Yes,SOFT,"operator, union",max_hours=10,"inclement weather, major breakdown or suspension of the project","auto-openai:The sentence outlines a guideline for scheduling work hours that allows for flexibility under certain conditions, indicating it is a soft constraint."
CARPENTE_0523,Carpenters_SanDiego_MLA_2022_2026,73,"False work necessary for the support of the work under the Carpenter classification shall be governed by their classification, except on a project where pile driving power equipment is used.",HARD,deontic:obligation|exception,3,Yes,HARD,"Carpenter classification, project, pile driving power equipment",,on a project where pile driving power equipment is used,"auto-openai:The sentence establishes a mandatory condition for false work under the Carpenter classification, with a specific exception regarding pile driving equipment."
CARPENTE_0532,Carpenters_SanDiego_MLA_2022_2026,75,A designated Dive Superintendent/Dive Master shall not dive except in a life threatening emergency.,HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"operator, authority, union",,in a life threatening emergency,"auto-openai:The sentence imposes a mandatory restriction on the Dive Superintendent/Dive Master, indicating they cannot dive except in specified emergencies."
CARPENTE_0143,Carpenters_SanDiego_MLA_2022_2026,26,"(8) hours of work performed on a Saturday shall be payable at the rate of one and one-half (1 ½) times the employee's straight-time hourly rate; except that an employee who does not complete a full forty (40) hour week for reasons beyond the control of the Employer, such as inclement weather, may voluntarily work a makeup shift (whole day only) on Saturday at the straight time rate of pay, with the approval of the Regional Council.",HARD,deontic:obligation|deontic:permission|exception,3,Yes,SOFT,"employee, employer, Regional Council",max_hours=8,employee who does not complete a full forty (40) hour week for reasons beyond the control of the Employer,"auto-openai:The sentence outlines a pay rate for Saturday work that is subject to approval and includes conditions, making it a soft constraint."
