sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
IBEW_124_0088,IBEW_1245_CA_Outside_2022_2027,17,"The lo2cal parties recognize that the implementation of a drug and alcohol policy and program, must be subject to all applicable federal, state, and local 1 laws and regulations.",HARD,deontic:obligation|exception,3,Yes,HARD,local parties,,,"auto-openai:The sentence mandates that the drug and alcohol policy must comply with all applicable laws and regulations, indicating a legally binding requirement."
IBEW_124_0031,IBEW_1245_CA_Outside_2022_2027,6,"In the event that these two are unable to adjust any matter within 48 hours, they shall refer the same to the LaborManagement Committee. 1.7 All matters coming before the Labor-Management Committee shall be decided by a majority vote.",HARD,deontic:obligation|threshold,3,Yes,HARD,Labor-Management Committee,48 hours,,"auto-openai:The sentence establishes a mandatory process for resolving disputes within a specified timeframe, indicating a hard constraint."
IBEW_124_0197,IBEW_1245_CA_Outside_2022_2027,26,"(3) days 1 prior to being referred, Saturdays and Sundays excluded. e n Except as purovided in Section 3.2, when the employer desires to employ a J particular applicant as Foreman, he shall notify the dispatcher of the name of the applicant requested.",HARD,deontic:obligation|exception,3,Yes,HARD,"employer, dispatcher, applicant",days=1,Except as provided in Section 3.2,"auto-openai:The sentence specifies a mandatory notification requirement for the employer regarding the employment of a particular applicant, which qualifies as a hard constraint."
IBEW_124_0034,IBEW_1245_CA_Outside_2022_2027,7,"ARTICLE II EMPLOYEES SHALL NOT CONTRACT 2.1 Employees covered by this Agreement, except those meeting the requirements of ""Employer"", as defined herein, shall not contract for any electrical work.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"employees, employer",,,"auto-openai:The sentence imposes a mandatory prohibition on employees contracting for electrical work, qualifying it as a hard constraint."
IBEW_124_0309,IBEW_1245_CA_Outside_2022_2027,38,"The first 2000 hours of OJT and satisfactory performances in related classroom training during such time shall constitute the probationary period. 35 California Outside Line Construction Agreement, June 1, 2022 - May 31, 2027",HARD,deontic:obligation|deontic:permission|threshold,3,Yes,HARD,"operator, union",max_hours=2000,,"auto-openai:The sentence establishes a mandatory probationary period based on specific hours and performance criteria, indicating a hard constraint."
IBEW_124_0308,IBEW_1245_CA_Outside_2022_2027,38,"The Apprentice shall participate in a minimum of 144 hours of related classroom training per year, outside the normal work hours.",HARD,deontic:obligation|threshold,3,Yes,HARD,"Apprentice, union",min_hours=144,,"auto-openai:The sentence specifies a mandatory requirement for the Apprentice to complete a minimum number of training hours, indicating a legally binding obligation."
IBEW_124_0040,IBEW_1245_CA_Outside_2022_2027,8,An applicant who qualifies for Group I in a local union shall be so registered electronically and remain on Group I in that local union unless and until the applicant designates another local union as his or her Group I local union.,HARD,deontic:obligation|exception,3,Yes,HARD,"applicant, local union",,unless and until the applicant designates another local union as his or her Group I local union,"auto-openai:The sentence establishes a mandatory requirement for registration in a local union, indicating no discretion is allowed unless a specific condition is met."
IBEW_124_0150,IBEW_1245_CA_Outside_2022_2027,22,"An individual Employer who fails to remit as provided above shall be additionally subject to having his agreement terminated upon seventy-two (72) hours’ notice in writing being served by the Union, provided the individual Employer fails to show satisfactory proof that the required payments have been paid to the appropriate local collection agent.",HARD,deontic:obligation|exception,3,Yes,HARD,"Employer, Union",notice_period=72hours,provided the individual Employer fails to show satisfactory proof that the required payments have been paid to the appropriate local collection agent,"auto-openai:The sentence imposes a mandatory consequence for non-compliance with payment obligations, specifying a notice period and conditions under which the agreement can be terminated."
IBEW_124_0043,IBEW_1245_CA_Outside_2022_2027,9,"(3) years in the geographical area covered by the collective bargaining agreement. 2.8 If the registration list is exhausted and the Local Union is unable to refer applicants for employment to the Employer within 48 hours from the time of receiving the Employer's request, Saturdays, Sundays, and holidays excepted, the Employer shall be free to secure 6 California Outside Line Construction Agreement, June 1, 2022 - May 31, 2027",HARD,deontic:obligation|deontic:permission|threshold,3,Yes,HARD,"Employer, Local Union",max_hours=48,"Saturdays, Sundays, and holidays excepted","auto-openai:The sentence specifies a mandatory time frame for the Employer to secure applicants, making it a hard constraint."
IBEW_124_0203,IBEW_1245_CA_Outside_2022_2027,26,"(5) employees including himself, except that he may be the sixth (6th) employee when an Apprentice is on the crew. 23 California Outside Line Construction Agreement, June 1, 2022 - May 31, 2027",SOFT,deontic:permission|exception,3,Yes,SOFT,"employees, apprentice",max_employees=6,except that he may be the sixth (6th) employee when an Apprentice is on the crew,"auto-openai:The sentence outlines a condition regarding the maximum number of employees allowed, which is subject to the presence of an Apprentice, indicating a discretionary constraint."
IBEW_124_0206,IBEW_1245_CA_Outside_2022_2027,27,No Foreman of one job shall be transferred to another job for the purpose of working as a Journeyman on overtime unless previous connection with the overtime job requires special consideration.,HARD,deontic:obligation|exception,3,Yes,HARD,"foreman, journeyman, overtime job",,unless previous connection with the overtime job requires special consideration,"auto-openai:The sentence imposes a mandatory restriction on the transfer of foremen to overtime jobs, indicating a hard constraint due to the use of 'shall' and the specific condition provided."
IBEW_124_0294,IBEW_1245_CA_Outside_2022_2027,35,"(c) Each employer shall contribut e one cent (c1¢t) per hour worked, up t2o a maximum of a 0 150,000 hours per year, for work performued under the terms of IBEW Local Union i 2 agreements with the West r er n n Line Con s sttru r ctors Ch n aptte r, Inc., NE , C A, Inc.",HARD,deontic:obligation|threshold,3,Yes,HARD,"employer, union",max_hours=150000,,"auto-openai:The sentence imposes a mandatory contribution requirement from the employer, which is legally binding and specifies a maximum threshold."
IBEW_124_0313,IBEW_1245_CA_Outside_2022_2027,39,"During the time an employee is doing work on a ny such energized parts of the line, e another qualified employee in a position to drender immediate assistance in case of accident or to assist in prevention of an accideint, shall act only as an observer. s t n u o 3.",HARD,deontic:obligation|exception,3,Yes,HARD,"employee, qualified employee",,,"auto-openai:The sentence mandates that a qualified employee must act only as an observer when another employee is working on energized parts, indicating a legally binding requirement."
IBEW_124_0208,IBEW_1245_CA_Outside_2022_2027,27,"(3) or more gang Foreman are employed, a General Foreman shall be designated by the Employer. e All Foreman and General Foreman must pdossess the qualifications of Journeyman Lineman, except for crews working on eleictrical foundations, underground electrical s substructure work and roads.",HARD,deontic:obligation|deontic:obligation|exception,3,Yes,HARD,"Employer, Foreman, General Foreman, Journeyman Lineman",,"except for crews working on electrical foundations, underground electrical substructure work and roads","auto-openai:The sentence establishes a mandatory requirement for the designation of a General Foreman and qualifications for Foremen, indicating a hard constraint."
IBEW_124_0141,IBEW_1245_CA_Outside_2022_2027,21,"MEAL PERIODS 4.7 When an employee works overtime after the regular day or shift, or when he is called out to work at night, Sundays, or on holidays, the Employer shall provide all meals unless the employees complete the job on or before meal time .",HARD,deontic:obligation|exception,3,Yes,HARD,"employer, employee",,unless the employees complete the job on or before meal time,"auto-openai:The sentence imposes a mandatory obligation on the employer to provide meals under specific conditions, making it a hard constraint."
IBEW_124_0136,IBEW_1245_CA_Outside_2022_2027,20,No individual workers of the crews shall be called in to work except in extreme emergencies.,HARD,deontic:obligation|exception,3,Yes,HARD,"workers, crews",,extreme emergencies,"auto-openai:The sentence imposes a strict limitation on calling in workers, indicating a mandatory condition that allows no discretion except in specified emergencies."
IBEW_124_0135,IBEW_1245_CA_Outside_2022_2027,20,"In the event of the inclement weather, employees shall report on scheduled work days unless otherwise instructed by the Employer at least two",HARD,deontic:obligation|exception,3,Yes,HARD,"employees, employer",,unless otherwise instructed by the Employer,"auto-openai:The sentence imposes a mandatory requirement for employees to report on scheduled work days, with a specific exception for instructions from the Employer."
IBEW_124_0134,IBEW_1245_CA_Outside_2022_2027,20,"A copy of all terminatieon slips issued shall be mailed to the Union within forty-eight n (48) hours following the time of termination. u J It is agreed that, except in emergencies, employees shall not be required to work in rain or other inclement weather.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"union, employees",48 hours,except in emergencies,"auto-openai:The sentence contains mandatory language regarding the mailing of termination slips and specifies conditions under which employees may not be required to work, making it a hard constraint."
IBEW_124_0132,IBEW_1245_CA_Outside_2022_2027,20,"If the employee is toerminated for cause or the employee O 7 i quits, the employee shall be paid for thet time worked only. 2 c a u 0 i 2 In the event the Emnployer rejectrs any applic ant for employment as provided in Section 2.5, souc r h rejection ssh t all be mande t at the jo1b ,s ite or shop unless the n e Employer h i afs, within oone",HARD,deontic:obligation|exception,3,Yes,HARD,"employee, employer",,if the employee is terminated for cause or quits,"auto-openai:The sentence outlines mandatory conditions regarding payment upon termination or resignation, indicating a hard constraint."
