sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
ATU_758__0076,ATU_758_Pierce_2024_2026,15,"New employees, with the exception of Transit Operator Trainees shall be subject to a probationary period of one thousand forty (1,040) hours of time worked from the employment start date, provided that the Employer may extend such probation for a maximum of 520 additional hours.",HARD,deontic:obligation|deontic:permission|threshold|exception,4,Yes,SOFT,"employer, employee, union",max_hours=1560,except Transit Operator Trainees,"auto-openai:The sentence outlines a probationary period that may be extended at the employer's discretion, indicating a soft constraint."
ATU_758__0320,ATU_758_Pierce_2024_2026,38,The Employer shall at all times maintain at least 6% of all shake-ups as full-time Extra Board.,HARD,deontic:obligation|threshold,3,Yes,HARD,"Employer, Extra Board",min_extra_board=6%,,"auto-openai:The sentence imposes a mandatory requirement on the Employer to maintain a specific percentage of full-time Extra Board, indicating no discretion is allowed."
ATU_758__0285,ATU_758_Pierce_2024_2026,35,Employees who refuse to accept such assignments will be subject to forfeiture of any remaining supplemental payments over the L&I minimum as provided in Section B above and may be subject to discipline if such refusal constitutes insubordination under the terms of this agreement. 9.,SOFT,deontic:permission|exception,3,Yes,HARD,"employees, authority",,if such refusal constitutes insubordination under the terms of this agreement,"auto-openai:The sentence imposes a mandatory consequence for refusing assignments, indicating a hard constraint on employee behavior."
ATU_758__0052,ATU_758_Pierce_2024_2026,14,"In case of non-disciplinary arbitration, the power and authority of the Arbitrator shall be to hear and decide each non-disciplinary dispute and shall be limited to determining the meaning and interpretation of the terms of this Agreement as herein set forth.",HARD,deontic:obligation|exception,3,Yes,HARD,"Arbitrator, Agreement",,,"auto-openai:The sentence establishes a mandatory authority for the Arbitrator to interpret the terms of the Agreement, indicating a legally binding constraint."
ATU_758__0473,ATU_758_Pierce_2024_2026,60,"An employee may be subject to coaching, counseling, or more serious discipline as a result.",SOFT,deontic:permission|exception,3,Yes,SOFT,"employee, employer",,,auto-openai:The use of 'may' indicates that the action of coaching or counseling is discretionary and not mandatory.
ATU_758__0154,ATU_758_Pierce_2024_2026,23,"Survivor Dependent Medical Coverage: In the event of the death of an employee caused by workplace violence, surviving dependent(s) covered by the decedent’s medical, dental and vision plan at the time of the employee’s death shall continue to receive Employer medical coverage, via COBRA, with no change in premium share for a period of six",HARD,deontic:obligation|exception,3,Yes,HARD,"employer, employee, dependent",max_duration=6,,"auto-openai:The sentence establishes a mandatory requirement for medical coverage continuation for dependents after an employee's death due to workplace violence, using 'shall' which indicates no discretion."
ATU_758__0091,ATU_758_Pierce_2024_2026,17,"Disciplinary actions involving suspensions without pay, demotions, or dismissal shall be subject to the grievance procedure of this Agreement.",HARD,deontic:obligation|exception,3,Yes,HARD,"union, authority",,,"auto-openai:The sentence establishes a mandatory procedure for disciplinary actions, indicating that such actions must adhere to the grievance procedure outlined in the Agreement."
ATU_758__0435,ATU_758_Pierce_2024_2026,52,All shifts will be declared vacant except for positions named in section G.1 and employees shall select shifts in accordance with their seniority. 1.,HARD,deontic:obligation|exception,3,Yes,HARD,"employees, union",,positions named in section G.1,"auto-openai:The sentence mandates that all shifts will be declared vacant except for specified positions, indicating a legally binding requirement with no discretion allowed."
ATU_758__0305,ATU_758_Pierce_2024_2026,36,To be eligible for the award(s) the employee must have worked at least 1250 hours in the calendar year and have attended not less than three safety meetings in the calendar year.,HARD,deontic:obligation|threshold,3,Yes,HARD,employee,"min_hours=1250,min_meetings=3",,"auto-openai:The sentence specifies mandatory requirements for eligibility, using 'must', which indicates a hard constraint."
ATU_758__0411,ATU_758_Pierce_2024_2026,49,"Days Off: Full time Comm Controllers shall have consecutive days off whenever possible, except those who serve on the Comm Controller Extra Board. 3.",HARD,deontic:obligation|exception,3,Yes,SOFT,"Comm Controllers, Extra Board",,those who serve on the Comm Controller Extra Board,"auto-openai:The sentence indicates a preference for consecutive days off but allows for exceptions, making it a soft constraint."
ATU_758__0460,ATU_758_Pierce_2024_2026,58,Replacements shall be issued no more often than once per year unless the nature of the assignment shortens the useful life of the item.,HARD,deontic:obligation|exception,3,Yes,HARD,"operator, union",max_replacements=1,unless the nature of the assignment shortens the useful life of the item,"auto-openai:The sentence imposes a mandatory limit on the frequency of replacements, qualifying it as a hard constraint."
ATU_758__0060,ATU_758_Pierce_2024_2026,14,"In case of a grievance involving any continuing or other monetary claim against the Employer, no award shall 6",HARD,deontic:obligation|exception,3,Yes,HARD,Employer,,,"auto-openai:The sentence specifies a mandatory condition regarding grievances and monetary claims against the Employer, indicating a hard constraint."
