sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
UNITE_HE_0641,UNITE_HERE_Westin_Bonaventure_LA,87,"The permanent arbitrator shall hear and decide all disputes submitted to arbitration unless the permanent arbitrator is unavailable for a hearing within 30 days from the date of submission but the alternate arbitrator is available during such 30-day period, in which case the dispute shall be submitted to the alternate arbitrator for hearing and decision.",HARD,deontic:obligation|threshold|exception,4,,,,,,
UNITE_HE_0422,UNITE_HERE_Westin_Bonaventure_LA,47,"The grievance mediation hearing shall be held within 30 days of said written request, unless the time limit is extended by mutual agreement in writing.",HARD,deontic:obligation|threshold|exception,4,,,,,,
UNITE_HE_0403,UNITE_HERE_Westin_Bonaventure_LA,46,"Claims of alleged violation of the terms and provisions of this Agreement should not be considered unless one of the parties hereto notifies the other of such violation within sixty (60) days after the occurrence thereof; and in any event no retroactive adjustment if required shall exceed sixty (60) days from the day the grievance is first submitted to the Employer, or his or her designated representative, by the employee or by the Union, except that the sixty (60) day retroactive adjustment provision shall not apply to claims for vacation pay, provided that such vacation pay claims shall be waived if the claim is not filed within 15 months of the due date of the vacation pay.",HARD,deontic:prohibition|deontic:obligation|deontic:preference|threshold|exception,4,,,,,,
UNITE_HE_0096,UNITE_HERE_Westin_Bonaventure_LA,16,"Any break in service, i.e., break in employment not in excess of 90 days, shall not constitute a break in continuous service, except if the absence is due to on-the-job injury covered by workers’ compensation insurance, then a break in employment not in excess of 15 months shall not constitute a break in continuous service.",HARD,deontic:prohibition|deontic:obligation|threshold|exception,4,,,,,,
UNITE_HE_0631,UNITE_HERE_Westin_Bonaventure_LA,86,"total number of work hours scheduled for each employee in the housekeeping, laundry, bell, front desk and room service units on the payroll as of 12/31/05 worked by that employee over the previous twelve (12) month period shall not be reduced, provided that this does not obligate the Employer to schedule overtime hours, (c ) No severance pay that may be required under the Collective Bargaining Agreement shall be due to any employee who is receiving the hours guaranteed under this agreement until the three year period of guaranteed hours has ended, and (d ) the Owner shall, or shall cause such other entity or entities to, incorporate into the Collective Bargaining Agreement a new subsection 3.D, replacing the existing subsection and providing: In the event the Owner or the Employer sells or assigns its business or substantially all of the assets used in the business, or in the event there is a change in the form of ownership, the Owner or the Employer, as applicable, shall give the Union notice of the planned or proposed change no more than 10 working days after the execution of a binding letter of intent mutually agreed upon between the owner or employer and the prospective buyer and the initial deposit by the prospective buyer, and the Owner or the Employer, as applicable, further agrees that as a condition to any such sale, assignment, or transfer., the Employer will obtain from its successor or successors in interest a written assumption of this Agreement including a promise that the successor or successors shall retain the employees employed in each of the units represented by the Union (subject to changes in the level of staffing) and furnish a copy thereof to the Union, in which event the assignor shall be relieved of its obligations hereunder to the extent that the assignor has fully transferred its right, title, or interest Notice to the Union shall include, at a minimum, a description of the nature and extent of the change, its effective date, the identities of all parties to the transaction, the effect of the transaction on employees and labor relations, and copies of all parts of the definitive transaction documents showing the above.",HARD,deontic:prohibition|deontic:obligation|deontic:permission|threshold|exception,4,,,,,,
UNITE_HE_0239,UNITE_HERE_Westin_Bonaventure_LA,31,"In the event of notification of such change of status, it shall not apply retroactively.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
UNITE_HE_0078,UNITE_HERE_Westin_Bonaventure_LA,14,"In the event of the termination of employment by the Employer, the employee affected shall be notified by the Employer, not later than the time of departure of the employee from the premises of the Employer at the end of the last shift of the employee.",HARD,deontic:obligation|exception,3,,,,,,
UNITE_HE_0298,UNITE_HERE_Westin_Bonaventure_LA,37,"Servers, front desk agents, and other employees who have responsibility for financial transactions, including employees authorized by management to accept checks, shall not be held responsible for credit card shortages or funds unless it can be shown that such loss or shortages is caused by a dishonest or willful act or gross negligence of the employee.",HARD,deontic:prohibition|deontic:obligation|exception,3,,,,,,
UNITE_HE_0449,UNITE_HERE_Westin_Bonaventure_LA,49,"There shall be no wildcat strikes or strikes over safety, unless conditions present a clear, immediate, and present danger to health and safety.",HARD,deontic:obligation|exception,3,,,,,,
UNITE_HE_0145,UNITE_HERE_Westin_Bonaventure_LA,20,"Employees leaving the Employer with at least one year of continuous service shall receive pay for any unused PTO accumulated upon separation, unless the separation is the result of serious misconduct warranting discharge without prior discipline, or resignation without providing two weeks’ notice, or notice that is reasonable under the circumstances.",HARD,deontic:obligation|exception,3,,,,,,
UNITE_HE_0451,UNITE_HERE_Westin_Bonaventure_LA,49,Any employee actually and actively engaged in a violation of this Section 18 shall be subject to discipline by the Employer up to and including discharge.,HARD,deontic:obligation|exception,3,,,,,,
UNITE_HE_0571,UNITE_HERE_Westin_Bonaventure_LA,71,"Short shift ""Turn Down Service"" (4 hour $22.81 $23.31 $23.81 $24.31 $24.86 $25.41 $25.96 $26.51 $27.06 minimum call) Houseperson $21.15 $21.65 $22.15 $22.65 $23.20 $23.75 $24.30 $24.85 $25.40 Handyperson (Utility and / or Shampoo) $21.58 $22.08 $22.58 $23.08 $23.63 $24.18 $24.73 $25.28 $25.83 Storeroom Employee/Receiving Clerk $21.38 $21.88 $22.38 $22.88 $23.43 $23.98 $24.53 $25.08 $25.63 Lobby Attendant $20.92 $21.42 $21.92 $22.42 $22.97 $23.52 $24.07 $24.62 $25.17 Housekeeping Supervisor $21.92 $22.42 $22.92 $23.42 $23.97 $24.52 $25.07 $25.62 $26.17 Combination Linen $21.18 $21.68 $22.18 $22.68 $23.23 $23.78 $24.33 $24.88 $25.43 Room/Clerical/Dispatcher (applicable to employees who spend 4 or more hours doing linen room work) LAUNDRY 12/01/2018 01/01/2020 06/01/2020 12/01/2020 06/01/2021 12/01/2021 06/01/2022 12/01/2022 06/01/2023 Floor Supervisor $22.29 $22.79 $23.29 $23.79 $24.34 $24.89 $25.44 $25.99 $26.54 Washer $21.40 $21.90 $22.40 $22.90 $23.45 $24.00 $24.55 $25.10 $25.65 Sorter $20.88 $21.38 $21.88 $22.38 $22.93 $23.48 $24.03 $24.58 $25.13 Laundry Janitor $20.88 $21.38 $21.88 $22.38 $22.93 $23.48 $24.03 $24.58 $25.13 Dry Cleaner/Spotter $21.92 $22.42 $22.92 $23.42 $23.97 $24.52 $25.07 $25.62 $26.17 Laundry/Valet Presser $21.66 $22.16 $22.66 $23.16 $23.71 $24.26 $24.81 $25.36 $25.91 Laundry/Valet Attendant $20.88 $21.38 $21.88 $22.38 $22.93 $23.48 $24.03 $24.58 $25.13 FRONT OFFICE 12/01/2018 01/01/2020 06/01/2020 12/01/2020 06/01/2021 12/01/2021 06/01/2022 12/01/2022 06/01/2023 Mail & Information Clerk $22.12 $22.62 $23.12 $23.62 $24.17 $24.72 $25.27 $25.82 $26.37 Rooms Coordinator $23.19 $23.69 $24.19 $24.69 $25.24 $25.79 $26.34 $26.89 $27.44 Airline Coordinator $22.69 $23.19 $23.69 $24.19 $24.74 $25.29 $25.84 $26.39 $26.94 Front Desk Agent $22.69 $23.19 $23.69 $24.19 $24.74 $25.29 $25.84 $26.39 $26.94 **PBX Operator/Service Express Agent $21.34 $21.84 $22.34 $22.84 $23.39 $23.94 $24.49 $25.04 $25.59 PBX Supervisor $21.68 $22.18 $22.68 $23.18 $23.73 $24.28 $24.83 $25.38 $25.93 **Service Express Agents who perform dispatch duties shall receive a pre mium of $0.50 per hour. 68",HARD,deontic:obligation|threshold,3,,,,,,
UNITE_HE_0418,UNITE_HERE_Westin_Bonaventure_LA,47,"Pending a determination of any matter in dispute, the status quo existing prior to the matter becoming a dispute shall remain in effect, except in cases involving suspensions or discharges.",HARD,deontic:obligation|exception,3,,,,,,
UNITE_HE_0240,UNITE_HERE_Westin_Bonaventure_LA,31,"Each craft shall be relieved by its own craft at the same rate of pay as the one relieved, except as otherwise set forth in Schedule A.",HARD,deontic:obligation|exception,3,,,,,,
UNITE_HE_0669,UNITE_HERE_Westin_Bonaventure_LA,96,"Furthermore, nothing in this letter shall be construed as evidence that Owner is bound to any provision of the 2018-23 CBA, except as explicitly stated above.",HARD,deontic:obligation|exception,3,,,,,,
UNITE_HE_0158,UNITE_HERE_Westin_Bonaventure_LA,21,"When the Employer schedules some but not all employees in a particular department and classification to work on a holiday, the choice of working or not working shall be given by departmental seniority provided that the 18",HARD,deontic:obligation|exception,3,,,,,,
UNITE_HE_0607,UNITE_HERE_Westin_Bonaventure_LA,79,"Employees laid off by the Employer in connection with the hotel closure shall be eligible for recall to available positions at the hotel for which they are qualified, provided that such employees",HARD,deontic:obligation|exception,3,,,,,,
UNITE_HE_0066,UNITE_HERE_Westin_Bonaventure_LA,13,"Notwithstanding any provisions of this subsection 3(I) to the contrary, the provisions of this Agreement prohibiting strikes shall remain in full force and effect if",HARD,deontic:obligation|exception,3,,,,,,
UNITE_HE_0115,UNITE_HERE_Westin_Bonaventure_LA,17,"(1) week in advance, except in the event of a bona fide emergency, employees shall also be granted time off without pay and without loss of seniority for medical or dental appointments for themselves or their dependents. 3.",HARD,deontic:obligation|exception,3,,,,,,
UNITE_HE_0064,UNITE_HERE_Westin_Bonaventure_LA,12,"The provisions of Section 18 prohibiting strikes shall be suspended upon the initiation of any proceeding to authorize the sale of the hotel in an action filed under Chapters 7 or 11 of the United States Bankruptcy Code with respect to the hotel or with respect to a business segment that includes the Hotel, or by delivery to the Employer of a notice of sale in foreclosure or other similar notice that the hotel will be taken in a transaction that is not voluntary by the Employer, and shall remain suspended unless and until the condition that caused the suspension has been resolved completely or the Union delivers a written waiver of the suspension.",HARD,deontic:obligation|exception,3,,,,,,
